Year,Team,% returning
2012,Arkansas St.,48.6
2012,Army,59.94
2012,Auburn,78.4
2012,Austin Peay,74.64
2012,Ball St.,86.44
2012,Baylor,70.64
2012,Belmont,79.96
2012,Bethune Cookman,56.74
2012,Binghamton,35.2
2012,Boise St.,35.8
2012,Boston College,12.58
2012,Boston University,77.82
2012,Bowling Green,80.1
2012,Bradley,51.04
2012,Brown,45.4
2012,Bryant,65.42
2012,Bucknell,73.22
2012,Buffalo,72.5
2012,Butler,45.6
2012,BYU,44.76
2012,Cal Poly,69
2012,Cal St. Bakersfield,39.8
2012,Cal St. Fullerton,61.5
2012,Cal St. Northridge,52.56
2012,California,80
2012,Campbell,58.86
2012,Canisius,36.76
2012,Central Arkansas,47.96
2012,Central Connecticut,55.42
2012,Central Michigan,51.02
2012,Charleston Southern,51.18
2012,Charlotte,68.56
2012,Chattanooga,68.22
2012,Chicago St.,8.82
2012,Cincinnati,59.08
2012,Clemson,59.1
2012,Cleveland St.,64.82
2012,Coastal Carolina,70.76
2012,Colgate,86.12
2012,College of Charleston,43.08
2012,Colorado,39.56
2012,Colorado St.,58.24
2012,Columbia,60.16
2012,Connecticut,61.86
2012,Coppin St.,71.26
2012,Cornell,60.32
2012,Creighton,60.9
2012,Dartmouth,67.24
2012,Davidson,76.8
2012,Dayton,58.58
2012,Delaware,52.76
2012,Delaware St.,58.1
2012,Denver,79.16
2012,DePaul,60.38
2012,Detroit,90.84
2012,Drake,69.44
2012,Drexel,81.52
2012,Duke,61.26
2012,Duquesne,60.9
2012,East Carolina,53.02
2012,East Tennessee St.,48.68
2012,Eastern Illinois,56
2012,Eastern Kentucky,45.02
2012,Eastern Michigan,60.1
2012,Eastern Washington,80.24
2012,Elon,64.36
2012,Evansville,70.18
2012,Fairfield,69.4
2012,Fairleigh Dickinson,20.48
2012,FIU,46.9
2012,Florida,59.64
2012,Florida A&M,72.28
2012,Florida Atlantic,83.14
2012,Florida Gulf Coast,43.36
2012,Florida St.,71.36
2012,Fordham,74.52
2012,Fresno St.,48.82
2012,Furman,35.16
2012,Gardner Webb,43.98
2012,George Mason,53.68
2012,George Washington,81.96
2012,Georgetown,48.56
2012,Georgia,50.52
2012,Georgia Southern,77.2
2012,Georgia St.,69.84
2012,Georgia Tech,58.7
2012,Gonzaga,60.18
2012,Grambling St.,14.12
2012,Green Bay,50.42
2012,Hampton,54.36
2012,Hartford,29.4
2012,Harvard,99.36
2012,Hawaii,64.16
2012,High Point,62.52
2012,Hofstra,51.06
2012,Holy Cross,66.04
2012,Houston,38.94
2012,Houston Baptist,28.28
2012,Howard,69.24
2012,Idaho,45.9
2012,Idaho St.,44.4
2012,Illinois,33.48
2012,Illinois Chicago,21.8
2012,Illinois St.,51.04
2012,Indiana,80.7
2012,Indiana St.,77.12
2012,Iona,71.24
2012,Iowa,83.82
2012,Iowa St.,41.36
2012,Fort Wayne,51.92
2012,IUPUI,63.56
2012,Jackson St.,24.32
2012,Jacksonville,69.24
2012,Jacksonville St.,29.54
2012,James Madison,60.24
2012,Kansas,32.42
2012,Kansas St.,61.06
2012,Kennesaw St.,59.8
2012,Kent St.,79.18
2012,Kentucky,49.48
2012,La Salle,48.34
2012,Lafayette,66.9
2012,Lamar,71.28
2012,Lehigh,68.4
2012,Liberty,58.96
2012,Lipscomb,36.38
2012,LIU Brooklyn,73.3
2012,Long Beach St.,71.18
2012,Longwood,82.34
2012,Louisiana Lafayette,56.28
2012,Louisiana Monroe,64.86
2012,Louisiana Tech,52.22
2012,Louisville,71.38
2012,Loyola Chicago,36.06
2012,Loyola Marymount,76.46
2012,Loyola MD,74.7
2012,LSU,66.2
2012,Maine,50.82
2012,Manhattan,70.8
2012,Marist,56.68
2012,Marquette,61.98
2012,Marshall,60.84
2012,Maryland,39.52
2012,Maryland Eastern Shore,41.56
2012,Massachusetts,64.64
2012,McNeese St.,31.28
2012,Memphis,86.36
2012,Mercer,53.08
2012,Miami FL,77.06
2012,Miami OH,38.62
2012,Michigan,82.66
2012,Michigan St.,40.2
2012,Middle Tennessee,56.64
2012,Milwaukee,60.06
2012,Minnesota,61.28
2012,Mississippi,55.74
2012,Mississippi St.,44.06
2012,Mississippi Valley St.,56.38
2012,Missouri,74.7
2012,Missouri St.,37.18
2012,Monmouth,54.92
2012,Montana,80.9
2012,Montana St.,37.66
2012,Morehead St.,47.96
2012,Morgan St.,80.8
2012,Mount St. Mary's,66.18
2012,Murray St.,52.5
2012,Navy,56.36
2012,Nebraska,56.58
2012,Nevada,90.24
2012,New Hampshire,55.06
2012,New Mexico,74.16
2012,New Mexico St.,70.84
2012,Niagara,56.18
2012,Nicholls St.,34.64
2012,NJIT,77.24
2012,Norfolk St.,59.58
2012,North Carolina,77.94
2012,North Carolina A&T,77.68
2012,North Carolina Central,66.82
2012,North Carolina St.,69.96
2012,North Dakota,86.68
2012,North Dakota St.,68.44
2012,North Florida,81.64
2012,North Texas,22.24
2012,Northeastern,63.32
2012,Northern Arizona,38.38
2012,Northern Colorado,41.46
2012,Northern Illinois,36.76
2012,Northern Iowa,68.56
2012,Northwestern,73.7
2012,Northwestern St.,60.96
2012,Notre Dame,54.42
2012,Oakland,44.84
2012,Ohio,64.92
2012,Ohio St.,57.98
2012,Oklahoma,78.86
2012,Oklahoma St.,45.48
2012,Old Dominion,43.84
2012,Oral Roberts,71.64
2012,Oregon,51.16
2012,Oregon St.,66.72
2012,Pacific,2.54
2012,Penn,69.52
2012,Penn St.,30.16
2012,Pepperdine,46.46
2012,Pittsburgh,57.68
2012,Portland,51.64
2012,Portland St.,31.9
2012,Prairie View A&M,36.82
2012,Presbyterian,73.26
2012,Princeton,67.84
2012,Providence,64.38
2012,Purdue,62.94
2012,Quinnipiac,46.94
2012,Radford,57.64
2012,Rhode Island,29.48
2012,Rice,63.78
2012,Richmond,40.56
2012,Rider,62.4
2012,Robert Morris,66.26
2012,Rutgers,47.68
2012,Sacramento St.,52.5
2012,Sacred Heart,76.84
2012,Saint Joseph's,66.9
2012,Saint Louis,88.42
2012,Saint Mary's,80.38
2012,Saint Peter's,32.64
2012,Sam Houston St.,19.64
2012,Samford,46.12
2012,San Diego,50.24
2012,San Diego St.,30.56
2012,San Francisco,84.24
2012,San Jose St.,63.92
2012,Santa Clara,49.82
2012,Savannah St.,78.1
2012,Seattle,58.4
2012,Seton Hall,47.66
2012,Siena,35.86
2012,SIU Edwardsville,51.62
2012,SMU,39.52
2012,South Alabama,30.74
2012,South Carolina,67.68
2012,South Carolina St.,55.64
2012,South Dakota,67.64
2012,South Dakota St.,66.22
2012,South Florida,69.34
2012,Southeast Missouri St.,70.16
2012,Southeastern Louisiana,42.4
2012,Southern,48.4
2012,Southern Illinois,45.24
2012,Southern Miss,36.6
2012,Southern Utah,58.66
2012,St. Bonaventure,75.4
2012,St. Francis NY,59.94
2012,St. Francis PA,71.54
2012,St. John's,4.82
2012,Stanford,83.7
2012,Stephen F. Austin,37
2012,Stetson,41.22
2012,Stony Brook,90.24
2012,Syracuse,82.28
2012,TCU,56.82
2012,Temple,71.46
2012,Tennessee,30.6
2012,Tennessee Martin,43.86
2012,Tennessee St.,85.66
2012,Tennessee Tech,82.94
2012,Texas,15.46
2012,Texas A&M,66.24
2012,Texas A&M Corpus Chris,15.1
2012,Texas Southern,45.4
2012,Texas St.,43.44
2012,Texas Tech,23.46
2012,The Citadel,22.42
2012,Toledo,26.18
2012,Towson,6.08
2012,Troy,28.36
2012,Tulane,47.42
2012,Tulsa,67.96
2012,UAB,49.14
2012,UC Davis,55.32
2012,UC Irvine,39.02
2012,UC Riverside,71.42
2012,UC Santa Barbara,53.52
2012,UCF,65.14
2012,UCLA,67.08
2012,UMBC,53.86
2012,UMKC,45.74
2012,UNC Asheville,73.82
2012,UNC Greensboro,87.42
2012,UNC Wilmington,60.92
2012,UNLV,76.06
2012,USC,22.68
2012,USC Upstate,53.04
2012,UT Arlington,78.54
2012,UT Rio Grande Valley,67.04
2012,Utah,33.34
2012,Utah St.,31.06
2012,Utah Valley,67.1
2012,UTEP,22.82
2012,UTSA,66.7
2012,Valparaiso,50.2
2012,Vanderbilt,95.2
2012,VCU,42.02
2012,Vermont,60.6
2012,Villanova,44.26
2012,Virginia,72.62
2012,Virginia Tech,41.64
2012,VMI,81.06
2012,Wagner,81.66
2012,Wake Forest,60.9
2012,Washington,38.46
2012,Washington St.,66.82
2012,Weber St.,68.28
2012,West Virginia,39.12
2012,Western Carolina,67.42
2012,Western Illinois,28.14
2012,Western Kentucky,39.32
2012,Western Michigan,79.94
2012,Wichita St.,56.76
2012,William & Mary,76.32
2012,Winthrop,65.56
2012,Wisconsin,54
2012,Wofford,30.08
2012,Wright St.,40.86
2012,Wyoming,45.32
2012,Xavier,40.2
2012,Yale,81.42
2012,Youngstown St.,63.38
2013,Air Force,83.52
2013,Akron,55.5
2013,Alabama,70.06
2013,Alabama A&M,55.3
2013,Alabama St.,48.9
2013,Albany,62.3
2013,Alcorn St.,32.32
2013,American,49.48
2013,Appalachian St.,44.84
2013,Arizona,47.9
2013,Arizona St.,55.08
2013,Arkansas,60.02
2013,Little Rock,35.4
2013,Arkansas Pine Bluff,48.08
2013,Arkansas St.,69.48
2013,Army,73.1
2013,Auburn,57.26
2013,Austin Peay,38.94
2013,Ball St.,48.44
2013,Baylor,51.42
2013,Belmont,64.2
2013,Bethune Cookman,61.38
2013,Binghamton,46.74
2013,Boise St.,72.94
2013,Boston College,58.3
2013,Boston University,49.28
2013,Bowling Green,59.14
2013,Bradley,75.06
2013,Brown,62.34
2013,Bryant,84.18
2013,Bucknell,84.9
2013,Buffalo,46.82
2013,Butler,71
2013,BYU,63.8
2013,Cal Poly,38.66
2013,Cal St. Bakersfield,69.8
2013,Cal St. Fullerton,31.84
2013,Cal St. Northridge,47.42
2013,California,66.06
2013,Campbell,52.04
2013,Canisius,69.96
2013,Central Arkansas,63.64
2013,Central Connecticut,50.4
2013,Central Michigan,26.84
2013,Charleston Southern,79.02
2013,Charlotte,58.76
2013,Chattanooga,42.42
2013,Chicago St.,35.92
2013,Cincinnati,69.58
2013,Clemson,50.66
2013,Cleveland St.,45.8
2013,Coastal Carolina,40.4
2013,Colgate,57.74
2013,College of Charleston,73.18
2013,Colorado,54.78
2013,Colorado St.,54.2
2013,Columbia,63.96
2013,Connecticut,47.98
2013,Coppin St.,27.5
2013,Cornell,65.4
2013,Creighton,83.54
2013,Dartmouth,60.08
2013,Davidson,94.52
2013,Dayton,37.8
2013,Delaware,74.48
2013,Delaware St.,78.8
2013,Denver,62.42
2013,DePaul,77.14
2013,Detroit,51.26
2013,Drake,39.48
2013,Drexel,84.78
2013,Duke,60.62
2013,Duquesne,45.58
2013,East Carolina,68.3
2013,East Tennessee St.,39.92
2013,Eastern Illinois,24.58
2013,Eastern Kentucky,39.24
2013,Eastern Michigan,58.72
2013,Eastern Washington,45.84
2013,Elon,80.02
2013,Evansville,69.68
2013,Fairfield,54.26
2013,Fairleigh Dickinson,53.32
2013,FIU,20.02
2013,Florida,65.36
2013,Florida A&M,29.44
2013,Florida Atlantic,42.88
2013,Florida Gulf Coast,81.6
2013,Florida St.,38.7
2013,Fordham,67.38
2013,Fresno St.,64.06
2013,Furman,57.04
2013,Gardner Webb,63.38
2013,George Mason,64.26
2013,George Washington,50.76
2013,Georgetown,54.44
2013,Georgia,67.48
2013,Georgia Southern,50.4
2013,Georgia St.,28.4
2013,Georgia Tech,80.86
2013,Gonzaga,75.04
2013,Grambling St.,59.94
2013,Green Bay,65.04
2013,Hampton,34.52
2013,Hartford,60.46
2013,Harvard,37.6
2013,Hawaii,34.86
2013,High Point,48.64
2013,Hofstra,41.28
2013,Holy Cross,62.08
2013,Houston,51.08
2013,Houston Baptist,68.2
2013,Howard,75.54
2013,Idaho,54.4
2013,Idaho St.,47.3
2013,Illinois,72.38
2013,Illinois Chicago,63.62
2013,Illinois St.,83.66
2013,Indiana,77.56
2013,Indiana St.,36.26
2013,Iona,35.48
2013,Iowa,65.58
2013,Iowa St.,52.74
2013,Fort Wayne,34.3
2013,IUPUI,53.8
2013,Jackson St.,87.02
2013,Jacksonville,47.1
2013,Jacksonville St.,77.84
2013,James Madison,76.04
2013,Kansas,56.12
2013,Kansas St.,82.38
2013,Kennesaw St.,62.74
2013,Kent St.,33.92
2013,Kentucky,7.1
2013,La Salle,75.76
2013,Lafayette,42.44
2013,Lamar,24.7
2013,Lehigh,74.78
2013,Liberty,43.46
2013,Lipscomb,33.08
2013,LIU Brooklyn,78.4
2013,Long Beach St.,29.34
2013,Longwood,38.14
2013,Louisiana Lafayette,28.14
2013,Louisiana Monroe,36.34
2013,Louisiana Tech,73.94
2013,Louisville,58.78
2013,Loyola Chicago,55.76
2013,Loyola Marymount,60.08
2013,Loyola MD,72.42
2013,LSU,44.42
2013,Maine,55.76
2013,Manhattan,77.5
2013,Marist,94.48
2013,Marquette,64.14
2013,Marshall,55.42
2013,Maryland,41.5
2013,Maryland Eastern Shore,36.54
2013,Massachusetts,74.82
2013,McNeese St.,61.34
2013,Memphis,70.42
2013,Mercer,83.26
2013,Miami FL,76.02
2013,Miami OH,62.84
2013,Michigan,56.58
2013,Michigan St.,58.4
2013,Middle Tennessee,80.32
2013,Milwaukee,52
2013,Minnesota,84.88
2013,Mississippi,70.7
2013,Mississippi St.,22.9
2013,Mississippi Valley St.,1.72
2013,Missouri,16
2013,Missouri St.,39.82
2013,Monmouth,59.36
2013,Montana,57.98
2013,Montana St.,41.4
2013,Morehead St.,46.26
2013,Morgan St.,47.44
2013,Mount St. Mary's,75.54
2013,Murray St.,48.96
2013,Navy,53.9
2013,Nebraska,26.7
2013,Nebraska Omaha,55
2013,Nevada,67.28
2013,New Hampshire,65.78
2013,New Mexico,66.32
2013,New Mexico St.,50.7
2013,Niagara,90.36
2013,Nicholls St.,63.54
2013,NJIT,40.12
2013,Norfolk St.,41.1
2013,North Carolina,34.98
2013,North Carolina A&T,68.2
2013,North Carolina Central,55.34
2013,North Carolina St.,62.48
2013,North Dakota,84.38
2013,North Dakota St.,75.4
2013,North Florida,73.94
2013,North Texas,79.16
2013,Northeastern,65.72
2013,Northern Arizona,64.2
2013,Northern Colorado,76.12
2013,Northern Illinois,60.86
2013,Northern Iowa,83.88
2013,Northwestern,58.06
2013,Northwestern St.,58.24
2013,Notre Dame,81.76
2013,Oakland,64.66
2013,Ohio,97.02
2013,Ohio St.,63.12
2013,Oklahoma,83.24
2013,Oklahoma St.,68.96
2013,Old Dominion,40.16
2013,Oral Roberts,52.06
2013,Oregon,41.88
2013,Oregon St.,78.12
2013,Pacific,93.86
2013,Penn,42.5
2013,Penn St.,63.22
2013,Pepperdine,39.8
2013,Pittsburgh,57.56
2013,Portland,66.82
2013,Portland St.,56.24
2013,Prairie View A&M,82.24
2013,Presbyterian,44.5
2013,Princeton,63.46
2013,Providence,72.84
2013,Purdue,45.6
2013,Quinnipiac,75.5
2013,Radford,46.22
2013,Rhode Island,38.54
2013,Rice,23.38
2013,Richmond,67.98
2013,Rider,50.8
2013,Robert Morris,77.42
2013,Rutgers,83.42
2013,Sacramento St.,69.62
2013,Sacred Heart,79.14
2013,Saint Joseph's,99.88
2013,Saint Louis,76.02
2013,Saint Mary's,67.66
2013,Saint Peter's,69.9
2013,Sam Houston St.,54.08
2013,Samford,52.84
2013,San Diego,86.08
2013,San Diego St.,76.36
2013,San Francisco,27.7
2013,San Jose St.,45.3
2013,Santa Clara,95.74
2013,Savannah St.,68.08
2013,Seattle,58.64
2013,Seton Hall,65.92
2013,Siena,51.76
2013,SIU Edwardsville,76.22
2013,SMU,44.98
2013,South Alabama,79.24
2013,South Carolina,55.56
2013,South Carolina St.,33.9
2013,South Dakota,40.24
2013,South Dakota St.,82.7
2013,South Florida,52.68
2013,Southeast Missouri St.,69.58
2013,Southeastern Louisiana,57.66
2013,Southern,52.36
2013,Southern Illinois,60.18
2013,Southern Miss,36.88
2013,Southern Utah,55.24
2013,St. Bonaventure,70.78
2013,St. Francis NY,76.64
2013,St. Francis PA,71.74
2013,St. John's,57.7
2013,Stanford,68.24
2013,Stephen F. Austin,63.76
2013,Stetson,85.68
2013,Stony Brook,54.7
2013,Syracuse,47.84
2013,TCU,59.58
2013,Temple,51.34
2013,Tennessee,62.42
2013,Tennessee Martin,55.14
2013,Tennessee St.,73.02
2013,Tennessee Tech,36.04
2013,Texas,58.44
2013,Texas A&M,50.48
2013,Texas A&M Corpus Chris,40.32
2013,Texas Southern,64.1
2013,Texas St.,51.16
2013,Texas Tech,52.76
2013,The Citadel,49.26
2013,Toledo,85.78
2013,Towson,37.28
2013,Troy,45.76
2013,Tulane,84.58
2013,Tulsa,30.04
2013,UAB,61.28
2013,UC Davis,54.84
2013,UC Irvine,91.94
2013,UC Riverside,19.26
2013,UC Santa Barbara,43.42
2013,UCF,48.92
2013,UCLA,59.06
2013,UMBC,77.32
2013,UMKC,65.16
2013,UNC Asheville,29.4
2013,UNC Greensboro,65.78
2013,UNC Wilmington,57.5
2013,UNLV,53.7
2013,USC,52.2
2013,USC Upstate,90.62
2013,UT Arlington,56.32
2013,UT Rio Grande Valley,54.4
2013,Utah,31.02
2013,Utah St.,52.58
2013,Utah Valley,48.92
2013,UTEP,67.96
2013,UTSA,47.42
2013,Valparaiso,74.9
2013,Vanderbilt,23.66
2013,VCU,83.24
2013,Vermont,57.82
2013,Villanova,54.18
2013,Virginia,49.94
2013,Virginia Tech,61.14
2013,VMI,41.14
2013,Wagner,74.34
2013,Wake Forest,47.38
2013,Washington,55.08
2013,Washington St.,46.74
2013,Weber St.,60.64
2013,West Virginia,59.78
2013,Western Carolina,58.98
2013,Western Illinois,59.72
2013,Western Kentucky,56.72
2013,Western Michigan,42.2
2013,Wichita St.,34.62
2013,William & Mary,70.64
2013,Winthrop,39.16
2013,Wisconsin,58.16
2013,Wofford,42.98
2013,Wright St.,44.6
2013,Wyoming,43.06
2013,Xavier,29.92
2013,Yale,62.14
2013,Youngstown St.,64.74
2014,Air Force,29.98
2014,Akron,54.22
2014,Alabama,62.34
2014,Alabama A&M,95
2014,Alabama St.,30.54
2014,Albany,51.14
2014,Alcorn St.,50.04
2014,American,46.32
2014,Appalachian St.,69.84
2014,Arizona,44.26
2014,Arizona St.,52.66
2014,Arkansas,65.2
2014,Little Rock,71.62
2014,Arkansas Pine Bluff,53.9
2014,Arkansas St.,58
2014,Army,60.46
2014,Auburn,29.68
2014,Austin Peay,62.02
2014,Ball St.,51.72
2014,Baylor,60.42
2014,Belmont,44.7
2014,Bethune Cookman,22.3
2014,Binghamton,45.7
2014,Boise St.,91.02
2014,Boston College,95.88
2014,Boston University,94.26
2014,Bowling Green,35.86
2014,Bradley,44.76
2014,Brown,46.96
2014,Bryant,72.64
2014,Bucknell,52.88
2014,Buffalo,69.4
2014,Butler,50
2014,BYU,52.28
2014,Cal Poly,65.22
2014,Cal St. Bakersfield,58.08
2014,Cal St. Fullerton,46.24
2014,Cal St. Northridge,70.84
2014,California,64.76
2014,Campbell,61.32
2014,Canisius,51.5
2014,Central Arkansas,52.28
2014,Central Connecticut,75.74
2014,Central Michigan,66.82
2014,Charleston Southern,71.58
2014,Charlotte,53.18
2014,Chattanooga,67.28
2014,Chicago St.,79.44
2014,Cincinnati,58.46
2014,Clemson,64.46
2014,Cleveland St.,71.6
2014,Coastal Carolina,61.7
2014,Colgate,68.2
2014,College of Charleston,71.82
2014,Colorado,63.96
2014,Colorado St.,25.26
2014,Columbia,61.72
2014,Connecticut,88.14
2014,Coppin St.,74.02
2014,Cornell,29.28
2014,Creighton,81.1
2014,Dartmouth,88.48
2014,Davidson,52.86
2014,Dayton,65.38
2014,Delaware,62.42
2014,Delaware St.,52.16
2014,Denver,62.48
2014,DePaul,58.76
2014,Detroit,30.86
2014,Drake,32.52
2014,Drexel,66.14
2014,Duke,57.74
2014,Duquesne,40.5
2014,East Carolina,31.62
2014,East Tennessee St.,62.88
2014,Eastern Illinois,42.88
2014,Eastern Kentucky,82.16
2014,Eastern Michigan,67.36
2014,Eastern Washington,59.46
2014,Elon,93.72
2014,Evansville,38.1
2014,Fairfield,43.08
2014,Fairleigh Dickinson,40.94
2014,FIU,42.36
2014,Florida,55.56
2014,Florida A&M,84.86
2014,Florida Atlantic,44.92
2014,Florida Gulf Coast,65.86
2014,Florida St.,62.26
2014,Fordham,81.64
2014,Fresno St.,46.24
2014,Furman,54.94
2014,Gardner Webb,61.7
2014,George Mason,89.52
2014,George Washington,72.26
2014,Georgetown,76.02
2014,Georgia,57.56
2014,Georgia Southern,40.78
2014,Georgia St.,81.6
2014,Georgia Tech,72.1
2014,Gonzaga,60.68
2014,Grambling St.,28.72
2014,Green Bay,64
2014,Hampton,77.54
2014,Hartford,87.36
2014,Harvard,83.22
2014,Hawaii,50.38
2014,High Point,77.2
2014,Hofstra,36.88
2014,Holy Cross,59.54
2014,Houston,67.78
2014,Houston Baptist,57.02
2014,Howard,15.8
2014,Idaho,35.56
2014,Idaho St.,54.62
2014,Illinois,38.54
2014,Illinois Chicago,49.2
2014,Illinois St.,14.38
2014,Indiana,32.38
2014,Indiana St.,87.82
2014,Iona,61.62
2014,Iowa,87.4
2014,Iowa St.,33.28
2014,Fort Wayne,71.46
2014,IUPUI,37.16
2014,Jackson St.,18.52
2014,Jacksonville,57.22
2014,Jacksonville St.,44.58
2014,James Madison,43.34
2014,Kansas,24.78
2014,Kansas St.,49.04
2014,Kennesaw St.,62.42
2014,Kent St.,57.44
2014,Kentucky,32.28
2014,La Salle,82.52
2014,Lafayette,71.54
2014,Lamar,52.16
2014,Lehigh,43.8
2014,Liberty,79.98
2014,Lipscomb,63.78
2014,LIU Brooklyn,40.06
2014,Long Beach St.,37.94
2014,Longwood,57.78
2014,Louisiana Lafayette,82.16
2014,Louisiana Monroe,64.76
2014,Louisiana Tech,84.6
2014,Louisville,69.98
2014,Loyola Chicago,60.42
2014,Loyola Marymount,61.14
2014,Loyola MD,47.36
2014,LSU,71
2014,Maine,37.92
2014,Manhattan,79.9
2014,Marist,81.38
2014,Marquette,56.32
2014,Marshall,25.74
2014,Maryland,61.88
2014,Maryland Eastern Shore,53.84
2014,Massachusetts,66.78
2014,McNeese St.,69.88
2014,Memphis,55.14
2014,Mercer,78.86
2014,Miami FL,17.98
2014,Miami OH,60.7
2014,Michigan,62.58
2014,Michigan St.,83.16
2014,Middle Tennessee,44.36
2014,Milwaukee,52.3
2014,Minnesota,49.7
2014,Mississippi,55.04
2014,Mississippi St.,88.4
2014,Mississippi Valley St.,54.28
2014,Missouri,39.62
2014,Missouri St.,74.72
2014,Monmouth,36.32
2014,Montana,60.82
2014,Montana St.,70.64
2014,Morehead St.,41.32
2014,Morgan St.,84.12
2014,Mount St. Mary's,61.1
2014,Murray St.,30.8
2014,Navy,84.72
2014,Nebraska,58.42
2014,Nebraska Omaha,80.2
2014,Nevada,48.08
2014,New Hampshire,48.86
2014,New Mexico,62.98
2014,New Mexico St.,60.98
2014,New Orleans,43.12
2014,Niagara,42.28
2014,Nicholls St.,74.38
2014,NJIT,39.08
2014,Norfolk St.,72.3
2014,North Carolina,59.14
2014,North Carolina A&T,38.68
2014,North Carolina Central,58.9
2014,North Carolina St.,21.74
2014,North Dakota,72.28
2014,North Dakota St.,89.22
2014,North Florida,39.22
2014,North Texas,40.86
2014,Northeastern,68.58
2014,Northern Arizona,31.3
2014,Northern Colorado,73.8
2014,Northern Illinois,64.36
2014,Northern Iowa,52.36
2014,Northern Kentucky,26.44
2014,Northwestern,54.2
2014,Northwestern St.,60.12
2014,Notre Dame,70.12
2014,Oakland,62.02
2014,Ohio,43.36
2014,Ohio St.,73.74
2014,Oklahoma,41.2
2014,Oklahoma St.,86.24
2014,Old Dominion,53.78
2014,Oral Roberts,46.62
2014,Oregon,43.82
2014,Oregon St.,71.04
2014,Pacific,47.94
2014,Penn,99.6
2014,Penn St.,49.38
2014,Pepperdine,48.5
2014,Pittsburgh,50.66
2014,Portland,77.52
2014,Portland St.,45.44
2014,Prairie View A&M,38.18
2014,Presbyterian,36.02
2014,Princeton,66.58
2014,Providence,85.86
2014,Purdue,57.82
2014,Quinnipiac,69.62
2014,Radford,90.88
2014,Rhode Island,50.34
2014,Rice,65
2014,Richmond,71.5
2014,Rider,65.08
2014,Robert Morris,59.56
2014,Rutgers,53.64
2014,Sacramento St.,49
2014,Sacred Heart,60.34
2014,Saint Joseph's,68.46
2014,Saint Louis,67.6
2014,Saint Mary's,60.18
2014,Saint Peter's,38.68
2014,Sam Houston St.,64.72
2014,Samford,77.18
2014,San Diego,52.68
2014,San Diego St.,46.42
2014,San Francisco,83.4
2014,San Jose St.,34.8
2014,Santa Clara,50.64
2014,Savannah St.,37.44
2014,Seattle,53.48
2014,Seton Hall,69.62
2014,Siena,54.64
2014,SIU Edwardsville,53.98
2014,SMU,68.38
2014,South Alabama,54.7
2014,South Carolina,45.52
2014,South Carolina St.,76.76
2014,South Dakota,65.06
2014,South Dakota St.,61.04
2014,South Florida,63.16
2014,Southeast Missouri St.,44.42
2014,Southeastern Louisiana,48.38
2014,Southern,51.84
2014,Southern Illinois,43.22
2014,Southern Miss,52.1
2014,Southern Utah,42.9
2014,St. Bonaventure,51
2014,St. Francis NY,69.56
2014,St. Francis PA,73.92
2014,St. John's,89.52
2014,Stanford,80.5
2014,Stephen F. Austin,46.16
2014,Stetson,41.04
2014,Stony Brook,66.28
2014,Syracuse,52.68
2014,TCU,34.56
2014,Temple,31.38
2014,Tennessee,61.28
2014,Tennessee Martin,82.6
2014,Tennessee St.,42.52
2014,Tennessee Tech,60.96
2014,Texas,52.68
2014,Texas A&M,57.42
2014,Texas A&M Corpus Chris,77.1
2014,Texas Southern,53.2
2014,Texas St.,63
2014,Texas Tech,67.7
2014,The Citadel,68.54
2014,Toledo,58.34
2014,Towson,79.62
2014,Troy,57.42
2014,Tulane,20.76
2014,Tulsa,67.7
2014,UAB,69.26
2014,UC Davis,48.18
2014,UC Irvine,49
2014,UC Riverside,61.56
2014,UC Santa Barbara,71.52
2014,UCF,79.06
2014,UCLA,67.14
2014,UMBC,56.66
2014,UMKC,46.18
2014,UNC Asheville,35.5
2014,UNC Greensboro,39.5
2014,UNC Wilmington,77.7
2014,UNLV,25.88
2014,USC,43
2014,USC Upstate,83.5
2014,UT Arlington,32.9
2014,UT Rio Grande Valley,42.4
2014,Utah,39.86
2014,Utah St.,78.4
2014,Utah Valley,46.06
2014,UTEP,61.84
2014,UTSA,38.52
2014,Valparaiso,23.54
2014,Vanderbilt,60.3
2014,VCU,62.98
2014,Vermont,81.78
2014,Villanova,76.22
2014,Virginia,71.28
2014,Virginia Tech,59.42
2014,VMI,58.94
2014,Wagner,69.9
2014,Wake Forest,76.38
2014,Washington,55.4
2014,Washington St.,67.72
2014,Weber St.,61.28
2014,West Virginia,52.1
2014,Western Carolina,91.42
2014,Western Illinois,39.9
2014,Western Kentucky,73.38
2014,Western Michigan,55.36
2014,Wichita St.,49.38
2014,William & Mary,84.56
2014,Winthrop,58.22
2014,Wisconsin,55.66
2014,Wofford,89.1
2014,Wright St.,91.6
2014,Wyoming,62.18
2014,Xavier,61.1
2014,Yale,62.98
2014,Youngstown St.,68.48
2015,Abilene Christian,69.2
2015,Air Force,71.62
2015,Akron,50.48
2015,Alabama,62.32
2015,Alabama A&M,21.22
2015,Alabama St.,98.72
2015,Albany,40.52
2015,Alcorn St.,45.62
2015,American,79.28
2015,Appalachian St.,66.6
2015,Arizona,64.86
2015,Arizona St.,41.46
2015,Arkansas,63.92
2015,Little Rock,66.62
2015,Arkansas Pine Bluff,63.66
2015,Arkansas St.,18.06
2015,Army,83.92
2015,Auburn,43.68
2015,Austin Peay,56
2015,Ball St.,32.82
2015,Baylor,46.88
2015,Belmont,58.3
