Year,Team,Ret Mins
2011,Drexel Dragons,57.4
2011,Duke Blue Devils,57.9
2011,Duquesne Dukes,72.3
2011,East Carolina Pirates,97.04
2011,East Tennessee State Buccaneers,83.98
2011,Eastern Illinois Panthers,58.78
2011,Eastern Kentucky Colonels,57.62
2011,Eastern Michigan Eagles,68.4
2011,Eastern Washington Eagles,46.42
2011,Elon Phoenix,59.36
2011,Evansville Aces,81.12
2011,Fairfield Stags,56.18
2011,Fairleigh Dickinson-Metropolitan Knights,60.06
2011,Florida International Panthers,52.66
2011,Florida Gators,79.58
2011,Florida A&M Rattlers,66.36
2011,Florida Atlantic Owls,86.52
2011,Florida Gulf Coast Eagles,67.02
2011,Florida State Seminoles,71.66
2011,Fordham Rams,71.64
2011,Fresno State Bulldogs,39.1
2011,Furman  Paladins,99.76
2011,Gardner Webb Runnin Bulldogs,44.64
2011,George Mason Patriots,80.9
2011,George Washington Colonials,63
2011,Georgetown Hoyas,82.08
2011,Georgia Bulldogs,66.24
2011,Georgia Southern Eagles,30.34
2011,Georgia State Panthers,31.76
2011,Georgia Tech Yellow Jackets,49.1
2011,Gonzaga Bulldogs,67.76
2011,Grambling State Tigers,26.24
2011,Wisconsin-Green Bay Phoenix,40.9
2011,Hampton University Pirates,65.5
2011,Hartford Hawks,79.26
2011,Harvard Crimson,64.98
2011,Hawaii Rainbow Warriors,18.1
2011,High Point Panthers,59.1
2011,Hofstra Pride,35.94
2011,Holy Cross Crusaders,82.42
2011,Houston Cougars,42
2011,Houston Baptist Huskies,53.52
2011,Howard Bison,49.76
2011,Idaho Vandals,32.52
2011,Idaho State Bengals,23.08
2011,Illinois Fighting Illini,85.44
2011,Illinois-Chicago Flames,53.92
2011,Illinois State Redbirds,43.82
2011,Indiana Hoosiers,88.2
2011,Indiana State Sycamores,58.58
2011,Iona Gaels,56.22
2011,Iowa Hawkeyes,65.6
2011,Iowa State Cyclones,30.26
2011,IUPU-Fort Wayne Mastadons,62.28
2011,Indiana-Purdue Jaguars,56.02
2011,Jackson State Tigers,81.78
2011,Jacksonville Dolphins,50.46
2011,Jacksonville State Gamecocks,62.24
2011,James Madison Dukes,61.42
2011,Kansas Jayhawks,54.28
2011,Kansas State Wildcats,61.8
2011,Kennesaw State Owls,64.34
2011,Kent State Golden Flashes,35.32
2011,Kentucky Wildcats,18.4
2011,La Salle Explorers,45.92
2011,Lafayette College Leopards,71.26
2011,Lamar Cardinals,66.08
2011,Lehigh Mountain Hawks,59.1
2011,Liberty University Flames,66.04
2011,Lipscomb Bison,94.4
2011,Long Island Brooklyn Blackbirds,79.22
2011,California State-Long Beach 49ers,72.08
2011,Longwood Lancers,44.46
2011,Louisiana-Lafayette Ragin Cajuns,51.1
2011,Louisiana-Monroe Warhawks,24.86
2011,Louisiana Tech Bulldogs,35.1
2011,Louisville Cardinals,37.68
2011,Loyola-Chicago Ramblers,85.6
2011,Loyola-Marymount Lions,75.06
2011,Loyola-Maryland Greyhounds,72.88
2011,Louisiana State Tigers,54.36
2011,Maine Black Bears,84.68
2011,Manhattan Jaspers,24.48
2011,Marist Red Foxes,78.08
2011,Marquette Golden Eagles,51.26
2011,Marshall Thundering Herd,44.4
2011,Maryland Terrapins,52.18
2011,Maryland-Eastern Shore Hawks,78.26
2011,Massachusetts Minutemen,78.6
2011,McNeese State Cowboys,83.8
2011,Memphis Tigers,31.94
2011,Mercer Bears,46.68
2011,Miami-Florida Hurricanes,66.18
2011,Miami-Ohio Redhawks,53.28
2011,Michigan Wolverines,47.2
2011,Michigan State Spartans,72.28
2011,Middle Tennessee State Blue Raiders,53.14
2011,Wisconsin-Milwaukee Panthers,50.56
2011,Minnesota Golden Gophers,58.56
2011,Mississippi Rebels,50.9
2011,Mississippi State Bulldogs,51.02
2011,Mississippi Valley State Delta Devils,61.92
2011,Missouri Tigers,56.22
2011,Missouri State Bears,75.2
2011,Monmouth-New Jersey Hawks,51.42
2011,Montana Grizzlies,40.7
2011,Montana State Bobcats,44.64
2011,Morehead State Eagles,52.14
2011,Morgan State Bears,40.32
2011,Mount Saint Marys Mountaineers,52.28
2011,Murray State Racers,72.9
2011,Navy Midshipmen,65.96
2011,Nebraska Cornhuskers,64.9
2011,Nevada Wolf Pack,19.66
2011,New Hampshire Wildcats,69.7
2011,New Mexico Lobos,50.72
2011,New Mexico State Aggies,48.98
2011,Niagara Purple Eagles,34
2011,Nicholls State Colonels,61.72
2011,New Jersey Tech Highlanders,82.64
2011,Norfolk State Spartans,63
2011,North Carolina Central Eagles,43.38
2011,North Carolina A&T Aggies,50.86
2011,North Carolina Tar Heels,67.8
2011,North Carolina State Wolfpack,62.24
2011,North Dakota Fighting Hawks,66.74
2011,North Dakota State Bison,50.5
2011,North Florida Ospreys,67.32
2011,North Texas Mean Green Eagles,68.38
2011,Northeastern Huskies,36.66
2011,Northern Arizona Lumberjacks,81.86
2011,Northern Colorado Bears,64.78
2011,Northern Illinois Huskies,46.9
2011,Northern Iowa Panthers,61.56
2011,Northwestern Wildcats,78.9
2011,Northwestern State Demons,70.64
2011,Notre Dame Fighting Irish,59.2
2011,Oakland Golden Grizzlies,57.74
2011,Ohio Bobcats,61.48
2011,Ohio State Buckeyes,65.76
2011,Oklahoma Sooners,32.04
2011,Oklahoma State Cowboys,67.34
2011,Old Dominion Monarchs,77.64
2011,Oral Roberts Golden Eagles,82.16
2011,Oregon Ducks,54.24
2011,Oregon State Beavers,60.06
2011,Pacific Tigers,66.36
2011,Pennsylvania Quakers,78.36
2011,Penn State Nittany Lions,70.64
2011,Pepperdine Waves,99.54
2011,Pittsburgh Panthers,84.24
2011,Portland Pilots,43.64
2011,Portland State Vikings,54.48
2011,Prairie View A&M Panthers,49.08
2011,Presbyterian Blue Hose,58.58
2011,Princeton Tigers,63.42
2011,Providence Friars,47.24
2011,Purdue Boilermakers,60.42
2011,Quinnipiac Bobcats,58.26
2011,Radford Highlanders,29.24
2011,Rhode Island Rams,60.68
2011,Rice University Owls,79.98
2011,Richmond Spiders,69.4
2011,Rider Broncs,76.08
2011,Robert Morris Colonials,49.82
2011,Rutgers Scarlet Knights,59.04
2011,California State-Sacramento Hornets,35.68
2011,Sacred Heart Pioneers,41.2
2011,Saint Josephs-Pennsylvania Hawks,53.48
2011,Saint Louis Billikens,54.18
2011,Saint Marys College-California Gaels,65.08
2011,Saint Peters Peacocks,92.84
2011,Sam Houston State Bearkats,53.48
2011,Samford Bulldogs,70.54
2011,San Diego Toreros,38.9
2011,San Diego State Aztecs,82.02
2011,San Francisco Dons,47.48
2011,San Jose State Spartans,40.26
2011,Santa Clara Broncos,96.1
2011,Savannah State Tigers,18.86
2011,Seattle University Red Hawks,50.42
2011,Seton Hall Pirates,71.2
2011,Siena College Saints,51.5
2011,Southern Illinois-Edwardsville Cougars,64.1
2011,Southern Methodist Mustangs,54.8
2011,South Alabama Jaguars,68.94
2011,South Carolina Gamecocks,50.62
2011,South Carolina State Bulldogs,59.22
2011,South Dakota Coyotes,55.6
2011,South Dakota State Jackrabbits,49.06
2011,South Florida Bulls,42.04
2011,Southeast Missouri State Redhawks,43.62
2011,Southeastern Louisiana Lions,70.38
2011,Southern University A&M Jaguars,42.9
2011,Southern Illinois Salukis,57.8
2011,Southern Mississippi Golden Eagles,85.64
2011,Southern Utah Thunderbirds,62.92
2011,Saint Bonaventure Bonnies,58.12
2011,Saint Francis-New York Terriers,76.5
2011,Saint Francis-Pennsylvania Red Flash,57.14
2011,Saint Johns Red Storm,88.06
2011,Stanford Cardinal,52.14
2011,Stephen F. Austin State Lumberjacks,58.92
2011,Stetson Hatters,51.02
2011,Stony Brook Seawolves,58.22
2011,Syracuse Orange,53.64
2011,Texas Christian Horned Frogs,43.92
2011,Temple Owls,61.14
2011,Tennessee Volunteers,57.28
2011,Tennessee-Martin Skyhawks,42.56
2011,Tennessee State Tigers,47.52
2011,Tennessee Tech Golden Eagles,68.64
2011,Texas Longhorns,49.16
2011,Texas A&M Aggies,66.12
2011,Texas A&M-Corpus Christi Islanders,53.64
2011,Texas Southern Tigers,33.44
2011,Texas State Bobcats,67.72
2011,Texas Tech Red Raiders,73.22
2011,Citadel Bulldogs,80.96
2011,Toledo Rockets,29.1
2011,Towson Tigers,46.72
2011,Troy Trojans,20.92
2011,Tulane Green Wave,64.98
2011,Tulsa Golden Hurricane,55.28
2011,Alabama-Birmingham Blazers,48.48
2011,California-Davis Aggies,58.52
2011,California-Irvine Anteaters,68.76
2011,California-Santa Barbara Gauchos,80.66
2011,Central Florida Knights,94.6
2011,UCLA Bruins,53.38
2011,Maryland-Baltimore County Retrievers,43.04
2011,Missouri-Kansas City Kangaroos,50.46
2011,North Carolina-Asheville Bulldogs,83.3
2011,North Carolina-Greensboro Spartans,45.54
2011,North Carolina-Wilmington Seahawks,46.76
2011,UNLV Rebels,72.28
2011,Southern California Trojans,44.14
2011,South Carolina-Upstate Spartans,47.7
2011,Texas-Arlington Mavericks,28.2
2011,Texas Rio Grande Vaqueros,42.9
2011,Utah Utes,44.22
2011,Utah State Aggies,73.86
2011,Utah Valley Wolverines,37.58
2011,Texas-El Paso Miners,67.44
2011,Texas-San Antonio Roadrunners,25.02
2011,Valparaiso Crusaders,75.12
2011,Vanderbilt Commodores,68.34
2011,Virginia Commonwealth Rams,69.18
2011,Vermont Catamounts,43.84
2011,Villanova Wildcats,66.18
2011,Virginia Cavaliers,57.4
2011,Virginia Tech Hokies,86.76
2011,Virginia Military Keydets,81.8
2011,Wagner Seahawks,66.56
2011,Wake Forest Demon Deacons,26.54
2011,Washington Huskies,70.02
2011,Washington State Cougars,70.8
2011,Weber State Wildcats,56.72
2011,West Virginia Mountaineers,55.54
2011,Western Carolina Catamounts,42.74
2011,Western Illinois Leathernecks,54.78
2011,Western Kentucky Hilltoppers,49.06
2011,Western Michigan Broncos,52.98
2011,Wichita State Shockers,83.84
2011,William & Mary Tribe,49.92
2011,Winthrop Eagles,69.74
2011,Wisconsin Badgers,65.46
2011,Wofford Terriers,75.9
2011,Wright State Raiders,46.66
2011,Wyoming Cowboys,74.68
2011,Xavier Musketeers,63.48
2011,Yale Bulldogs,48.76
2011,Youngstown State Penguins,29.72
2012,Air Force Falcons,56.2
2012,Akron Zips,57.12
2012,Alabama Crimson Tide,58.56
2012,Alabama A&M Bulldogs,52.68
2012,Alabama State Hornets,51.44
2012,Albany Great Danes,76.82
2012,Alcorn State Braves,42.92
2012,American Eagles,41.84
2012,Appalachian State Mountaineers,56.18
2012,Arizona Wildcats,63.06
2012,Arizona State Sun Devils,52.66
2012,Arkansas Razorbacks,42.16
2012,Arkansas-Little Rock Trojans,30.26
2012,Arkansas-Pine Bluff Golden Lions,42.16
2012,Arkansas State Red Wolves,48.6
2012,Army Black Knights,59.94
2012,Auburn Tigers,78.4
2012,Austin Peay State Governors,74.64
2012,Ball State Cardinals,86.44
2012,Baylor Bears,70.64
2012,Belmont Bruins,79.96
2012,Bethune Cookman Wildcats,56.74
2012,Binghamton Bearcats,35.2
2012,Boise State Broncos,35.8
2012,Boston College Eagles,12.58
2012,Boston University Terriers,77.82
2012,Bowling Green State Falcons,80.1
2012,Bradley Braves,51.04
2012,Brown Bears,45.4
2012,Bryant University Bulldogs,65.42
2012,Bucknell Bison,73.22
2012,Buffalo Bulls,72.5
2012,Butler Bulldogs,45.6
2012,Brigham Young Cougars,44.76
2012,Cal Poly-Slo Mustangs,69
2012,California State-Bakersfield Roadrunners,39.8
2012,California State-Fullerton Titans,61.5
2012,California State-Northridge Matadors,52.56
2012,California Golden Bears,80
2012,Campbell Fighting Camels,58.86
2012,Canisius Golden Griffins,36.76
2012,Central Arkansas Bears,47.96
2012,Central Connecticut State Blue Devils,55.42
2012,Central Michigan Chippewas,51.02
2012,Charleston Southern Buccaneers,51.18
2012,North Carolina-Charlotte 49ers,68.56
2012,Tennessee-Chattanooga Moccasins,68.22
2012,Chicago State Cougars,8.82
2012,Cincinnati Bearcats,59.08
2012,Clemson Tigers,59.1
2012,Cleveland State Vikings,64.82
2012,Coastal Carolina Chanticleers,70.76
2012,Colgate Red Raiders,86.12
2012,College of Charleston Cougars,43.08
2012,Colorado Buffaloes,39.56
2012,Colorado State Rams,58.24
2012,Columbia Lions,60.16
2012,Connecticut Huskies,61.86
2012,Coppin State Eagles,71.26
2012,Cornell Big Red,60.32
2012,Creighton Blue Jays,60.9
2012,Dartmouth College Big Green,67.24
2012,Davidson College Wildcats,76.8
2012,Dayton Flyers,58.58
2012,Delaware Blue Hens,52.76
2012,Delaware State Hornets,58.1
2012,Denver Pioneers,79.16
2012,DePaul Blue Demons,60.38
2012,Detroit-Mercy Titans,90.84
2012,Drake Bulldogs,69.44
2012,Drexel Dragons,81.52
2012,Duke Blue Devils,61.26
2012,Duquesne Dukes,60.9
2012,East Carolina Pirates,53.02
2012,East Tennessee State Buccaneers,48.68
2012,Eastern Illinois Panthers,56
2012,Eastern Kentucky Colonels,45.02
2012,Eastern Michigan Eagles,60.1
2012,Eastern Washington Eagles,80.24
2012,Elon Phoenix,64.36
2012,Evansville Aces,70.18
2012,Fairfield Stags,69.4
2012,Fairleigh Dickinson-Metropolitan Knights,20.48
2012,Florida International Panthers,46.9
2012,Florida Gators,59.64
2012,Florida A&M Rattlers,72.28
2012,Florida Atlantic Owls,83.14
2012,Florida Gulf Coast Eagles,43.36
2012,Florida State Seminoles,71.36
2012,Fordham Rams,74.52
2012,Fresno State Bulldogs,48.82
2012,Furman  Paladins,35.16
2012,Gardner Webb Runnin Bulldogs,43.98
2012,George Mason Patriots,53.68
2012,George Washington Colonials,81.96
2012,Georgetown Hoyas,48.56
2012,Georgia Bulldogs,50.52
2012,Georgia Southern Eagles,77.2
2012,Georgia State Panthers,69.84
2012,Georgia Tech Yellow Jackets,58.7
2012,Gonzaga Bulldogs,60.18
2012,Grambling State Tigers,14.12
2012,Wisconsin-Green Bay Phoenix,50.42
2012,Hampton University Pirates,54.36
2012,Hartford Hawks,29.4
2012,Harvard Crimson,99.36
2012,Hawaii Rainbow Warriors,64.16
2012,High Point Panthers,62.52
2012,Hofstra Pride,51.06
2012,Holy Cross Crusaders,66.04
2012,Houston Cougars,38.94
2012,Houston Baptist Huskies,28.28
2012,Howard Bison,69.24
2012,Idaho Vandals,45.9
2012,Idaho State Bengals,44.4
2012,Illinois Fighting Illini,33.48
2012,Illinois-Chicago Flames,21.8
2012,Illinois State Redbirds,51.04
2012,Indiana Hoosiers,80.7
2012,Indiana State Sycamores,77.12
2012,Iona Gaels,71.24
2012,Iowa Hawkeyes,83.82
2012,Iowa State Cyclones,41.36
2012,IUPU-Fort Wayne Mastadons,51.92
2012,Indiana-Purdue Jaguars,63.56
2012,Jackson State Tigers,24.32
2012,Jacksonville Dolphins,69.24
2012,Jacksonville State Gamecocks,29.54
2012,James Madison Dukes,60.24
2012,Kansas Jayhawks,32.42
2012,Kansas State Wildcats,61.06
2012,Kennesaw State Owls,59.8
2012,Kent State Golden Flashes,79.18
2012,Kentucky Wildcats,49.48
2012,La Salle Explorers,48.34
2012,Lafayette College Leopards,66.9
2012,Lamar Cardinals,71.28
2012,Lehigh Mountain Hawks,68.4
2012,Liberty University Flames,58.96
2012,Lipscomb Bison,36.38
2012,Long Island Brooklyn Blackbirds,73.3
2012,California State-Long Beach 49ers,71.18
2012,Longwood Lancers,82.34
2012,Louisiana-Lafayette Ragin Cajuns,56.28
2012,Louisiana-Monroe Warhawks,64.86
2012,Louisiana Tech Bulldogs,52.22
2012,Louisville Cardinals,71.38
2012,Loyola-Chicago Ramblers,36.06
2012,Loyola-Marymount Lions,76.46
2012,Loyola-Maryland Greyhounds,74.7
2012,Louisiana State Tigers,66.2
2012,Maine Black Bears,50.82
2012,Manhattan Jaspers,70.8
2012,Marist Red Foxes,56.68
2012,Marquette Golden Eagles,61.98
2012,Marshall Thundering Herd,60.84
2012,Maryland Terrapins,39.52
2012,Maryland-Eastern Shore Hawks,41.56
2012,Massachusetts Minutemen,64.64
2012,McNeese State Cowboys,31.28
2012,Memphis Tigers,86.36
2012,Mercer Bears,53.08
2012,Miami-Florida Hurricanes,77.06
2012,Miami-Ohio Redhawks,38.62
2012,Michigan Wolverines,82.66
2012,Michigan State Spartans,40.2
2012,Middle Tennessee State Blue Raiders,56.64
2012,Wisconsin-Milwaukee Panthers,60.06
2012,Minnesota Golden Gophers,61.28
2012,Mississippi Rebels,55.74
2012,Mississippi State Bulldogs,44.06
2012,Mississippi Valley State Delta Devils,56.38
2012,Missouri Tigers,74.7
2012,Missouri State Bears,37.18
2012,Monmouth-New Jersey Hawks,54.92
2012,Montana Grizzlies,80.9
2012,Montana State Bobcats,37.66
2012,Morehead State Eagles,47.96
2012,Morgan State Bears,80.8
2012,Mount Saint Marys Mountaineers,66.18
2012,Murray State Racers,52.5
2012,Navy Midshipmen,56.36
2012,Nebraska Cornhuskers,56.58
2012,Nevada Wolf Pack,90.24
2012,New Hampshire Wildcats,55.06
2012,New Mexico Lobos,74.16
2012,New Mexico State Aggies,70.84
2012,Niagara Purple Eagles,56.18
2012,Nicholls State Colonels,34.64
2012,New Jersey Tech Highlanders,77.24
2012,Norfolk State Spartans,59.58
2012,North Carolina Central Eagles,77.94
2012,North Carolina A&T Aggies,77.68
2012,North Carolina Tar Heels,66.82
2012,North Carolina State Wolfpack,69.96
2012,North Dakota Fighting Hawks,86.68
2012,North Dakota State Bison,68.44
2012,North Florida Ospreys,81.64
2012,North Texas Mean Green Eagles,22.24
2012,Northeastern Huskies,63.32
2012,Northern Arizona Lumberjacks,38.38
2012,Northern Colorado Bears,41.46
2012,Northern Illinois Huskies,36.76
2012,Northern Iowa Panthers,68.56
2012,Northwestern Wildcats,73.7
2012,Northwestern State Demons,60.96
2012,Notre Dame Fighting Irish,54.42
2012,Oakland Golden Grizzlies,44.84
2012,Ohio Bobcats,64.92
2012,Ohio State Buckeyes,57.98
2012,Oklahoma Sooners,78.86
2012,Oklahoma State Cowboys,45.48
2012,Old Dominion Monarchs,43.84
2012,Oral Roberts Golden Eagles,71.64
2012,Oregon Ducks,51.16
2012,Oregon State Beavers,66.72
2012,Pacific Tigers,2.54
2012,Pennsylvania Quakers,69.52
2012,Penn State Nittany Lions,30.16
2012,Pepperdine Waves,46.46
2012,Pittsburgh Panthers,57.68
2012,Portland Pilots,51.64
2012,Portland State Vikings,31.9
2012,Prairie View A&M Panthers,36.82
2012,Presbyterian Blue Hose,73.26
2012,Princeton Tigers,67.84
2012,Providence Friars,64.38
2012,Purdue Boilermakers,62.94
2012,Quinnipiac Bobcats,46.94
2012,Radford Highlanders,57.64
2012,Rhode Island Rams,29.48
2012,Rice University Owls,63.78
2012,Richmond Spiders,40.56
2012,Rider Broncs,62.4
2012,Robert Morris Colonials,66.26
2012,Rutgers Scarlet Knights,47.68
2012,California State-Sacramento Hornets,52.5
2012,Sacred Heart Pioneers,76.84
2012,Saint Josephs-Pennsylvania Hawks,66.9
2012,Saint Louis Billikens,88.42
2012,Saint Marys College-California Gaels,80.38
2012,Saint Peters Peacocks,32.64
2012,Sam Houston State Bearkats,19.64
2012,Samford Bulldogs,46.12
2012,San Diego Toreros,50.24
2012,San Diego State Aztecs,30.56
2012,San Francisco Dons,84.24
2012,San Jose State Spartans,63.92
2012,Santa Clara Broncos,49.82
2012,Savannah State Tigers,78.1
2012,Seattle University Red Hawks,58.4
2012,Seton Hall Pirates,47.66
2012,Siena College Saints,35.86
2012,Southern Illinois-Edwardsville Cougars,51.62
2012,Southern Methodist Mustangs,39.52
2012,South Alabama Jaguars,30.74
2012,South Carolina Gamecocks,67.68
2012,South Carolina State Bulldogs,55.64
2012,South Dakota Coyotes,67.64
2012,South Dakota State Jackrabbits,66.22
2012,South Florida Bulls,69.34
2012,Southeast Missouri State Redhawks,70.16
2012,Southeastern Louisiana Lions,42.4
2012,Southern University A&M Jaguars,48.4
2012,Southern Illinois Salukis,45.24
2012,Southern Mississippi Golden Eagles,36.6
2012,Southern Utah Thunderbirds,58.66
2012,Saint Bonaventure Bonnies,75.4
2012,Saint Francis-New York Terriers,59.94
2012,Saint Francis-Pennsylvania Red Flash,71.54
2012,Saint Johns Red Storm,4.82
2012,Stanford Cardinal,83.7
2012,Stephen F. Austin State Lumberjacks,37
2012,Stetson Hatters,41.22
2012,Stony Brook Seawolves,90.24
2012,Syracuse Orange,82.28
2012,Texas Christian Horned Frogs,56.82
2012,Temple Owls,71.46
2012,Tennessee Volunteers,30.6
2012,Tennessee-Martin Skyhawks,43.86
2012,Tennessee State Tigers,85.66
2012,Tennessee Tech Golden Eagles,82.94
2012,Texas Longhorns,15.46
2012,Texas A&M Aggies,66.24
2012,Texas A&M-Corpus Christi Islanders,15.1
2012,Texas Southern Tigers,45.4
2012,Texas State Bobcats,43.44
2012,Texas Tech Red Raiders,23.46
2012,Citadel Bulldogs,22.42
2012,Toledo Rockets,26.18
2012,Towson Tigers,6.08
2012,Troy Trojans,28.36
2012,Tulane Green Wave,47.42
2012,Tulsa Golden Hurricane,67.96
2012,Alabama-Birmingham Blazers,49.14
2012,California-Davis Aggies,55.32
2012,California-Irvine Anteaters,39.02
2012,California-Riverside Highlanders,71.42
2012,California-Santa Barbara Gauchos,53.52
2012,Central Florida Knights,65.14
2012,UCLA Bruins,67.08
2012,Maryland-Baltimore County Retrievers,53.86
2012,Missouri-Kansas City Kangaroos,45.74
2012,North Carolina-Asheville Bulldogs,73.82
2012,North Carolina-Greensboro Spartans,87.42
2012,North Carolina-Wilmington Seahawks,60.92
2012,UNLV Rebels,76.06
2012,Southern California Trojans,22.68
2012,South Carolina-Upstate Spartans,53.04
2012,Texas-Arlington Mavericks,78.54
2012,Texas Rio Grande Vaqueros,67.04
2012,Utah Utes,33.34
2012,Utah State Aggies,31.06
2012,Utah Valley Wolverines,67.1
2012,Texas-El Paso Miners,22.82
2012,Texas-San Antonio Roadrunners,66.7
2012,Valparaiso Crusaders,50.2
2012,Vanderbilt Commodores,95.2
2012,Virginia Commonwealth Rams,42.02
2012,Vermont Catamounts,60.6
2012,Villanova Wildcats,44.26
2012,Virginia Cavaliers,72.62
2012,Virginia Tech Hokies,41.64
2012,Virginia Military Keydets,81.06
2012,Wagner Seahawks,81.66
2012,Wake Forest Demon Deacons,60.9
2012,Washington Huskies,38.46
2012,Washington State Cougars,66.82
2012,Weber State Wildcats,68.28
2012,West Virginia Mountaineers,39.12
2012,Western Carolina Catamounts,67.42
2012,Western Illinois Leathernecks,28.14
2012,Western Kentucky Hilltoppers,39.32
2012,Western Michigan Broncos,79.94
2012,Wichita State Shockers,56.76
2012,William & Mary Tribe,76.32
2012,Winthrop Eagles,65.56
2012,Wisconsin Badgers,54
2012,Wofford Terriers,30.08
2012,Wright State Raiders,40.86
2012,Wyoming Cowboys,45.32
2012,Xavier Musketeers,40.2
2012,Yale Bulldogs,81.42
2012,Youngstown State Penguins,63.38
2013,Air Force Falcons,83.52
2013,Akron Zips,55.5
2013,Alabama Crimson Tide,70.06
2013,Alabama A&M Bulldogs,55.3
2013,Alabama State Hornets,48.9
2013,Albany Great Danes,62.3
2013,Alcorn State Braves,32.32
2013,American Eagles,49.48
2013,Appalachian State Mountaineers,44.84
2013,Arizona Wildcats,47.9
2013,Arizona State Sun Devils,55.08
2013,Arkansas Razorbacks,60.02
2013,Arkansas-Little Rock Trojans,35.4
2013,Arkansas-Pine Bluff Golden Lions,48.08
2013,Arkansas State Red Wolves,69.48
2013,Army Black Knights,73.1
2013,Auburn Tigers,57.26
2013,Austin Peay State Governors,38.94
2013,Ball State Cardinals,48.44
2013,Baylor Bears,51.42
2013,Belmont Bruins,64.2
2013,Bethune Cookman Wildcats,61.38
2013,Binghamton Bearcats,46.74
2013,Boise State Broncos,72.94
2013,Boston College Eagles,58.3
2013,Boston University Terriers,49.28
2013,Bowling Green State Falcons,59.14
2013,Bradley Braves,75.06
2013,Brown Bears,62.34
2013,Bryant University Bulldogs,84.18
2013,Bucknell Bison,84.9
2013,Buffalo Bulls,46.82
2013,Butler Bulldogs,71
2013,Brigham Young Cougars,63.8
2013,Cal Poly-Slo Mustangs,38.66
2013,California State-Bakersfield Roadrunners,69.8
2013,California State-Fullerton Titans,31.84
2013,California State-Northridge Matadors,47.42
2013,California Golden Bears,66.06
2013,Campbell Fighting Camels,52.04
2013,Canisius Golden Griffins,69.96
2013,Central Arkansas Bears,63.64
2013,Central Connecticut State Blue Devils,50.4
2013,Central Michigan Chippewas,26.84
2013,Charleston Southern Buccaneers,79.02
2013,North Carolina-Charlotte 49ers,58.76
2013,Tennessee-Chattanooga Moccasins,42.42
2013,Chicago State Cougars,35.92
2013,Cincinnati Bearcats,69.58
2013,Clemson Tigers,50.66
2013,Cleveland State Vikings,45.8
2013,Coastal Carolina Chanticleers,40.4
2013,Colgate Red Raiders,57.74
2013,College of Charleston Cougars,73.18
2013,Colorado Buffaloes,54.78
2013,Colorado State Rams,54.2
2013,Columbia Lions,63.96
2013,Connecticut Huskies,47.98
2013,Coppin State Eagles,27.5
2013,Cornell Big Red,65.4
2013,Creighton Blue Jays,83.54
2013,Dartmouth College Big Green,60.08
2013,Davidson College Wildcats,94.52
2013,Dayton Flyers,37.8
2013,Delaware Blue Hens,74.48
2013,Delaware State Hornets,78.8
2013,Denver Pioneers,62.42
2013,DePaul Blue Demons,77.14
2013,Detroit-Mercy Titans,51.26
2013,Drake Bulldogs,39.48
2013,Drexel Dragons,84.78
2013,Duke Blue Devils,60.62
2013,Duquesne Dukes,45.58
2013,East Carolina Pirates,68.3
2013,East Tennessee State Buccaneers,39.92
2013,Eastern Illinois Panthers,24.58
2013,Eastern Kentucky Colonels,39.24
2013,Eastern Michigan Eagles,58.72
2013,Eastern Washington Eagles,45.84
2013,Elon Phoenix,80.02
2013,Evansville Aces,69.68
2013,Fairfield Stags,54.26
2013,Fairleigh Dickinson-Metropolitan Knights,53.32
2013,Florida International Panthers,20.02
2013,Florida Gators,65.36
2013,Florida A&M Rattlers,29.44
2013,Florida Atlantic Owls,42.88
2013,Florida Gulf Coast Eagles,81.6
2013,Florida State Seminoles,38.7
2013,Fordham Rams,67.38
2013,Fresno State Bulldogs,64.06
2013,Furman  Paladins,57.04
2013,Gardner Webb Runnin Bulldogs,63.38
2013,George Mason Patriots,64.26
2013,George Washington Colonials,50.76
2013,Georgetown Hoyas,54.44
2013,Georgia Bulldogs,67.48
2013,Georgia Southern Eagles,50.4
2013,Georgia State Panthers,28.4
2013,Georgia Tech Yellow Jackets,80.86
2013,Gonzaga Bulldogs,75.04
2013,Grambling State Tigers,59.94
2013,Wisconsin-Green Bay Phoenix,65.04
2013,Hampton University Pirates,34.52
2013,Hartford Hawks,60.46
2013,Harvard Crimson,37.6
2013,Hawaii Rainbow Warriors,34.86
2013,High Point Panthers,48.64
2013,Hofstra Pride,41.28
2013,Holy Cross Crusaders,62.08
2013,Houston Cougars,51.08
2013,Houston Baptist Huskies,68.2
2013,Howard Bison,75.54
2013,Idaho Vandals,54.4
2013,Idaho State Bengals,47.3
2013,Illinois Fighting Illini,72.38
2013,Illinois-Chicago Flames,63.62
2013,Illinois State Redbirds,83.66
2013,Indiana Hoosiers,77.56
2013,Indiana State Sycamores,36.26
2013,Iona Gaels,35.48
2013,Iowa Hawkeyes,65.58
2013,Iowa State Cyclones,52.74
2013,IUPU-Fort Wayne Mastadons,34.3
2013,Indiana-Purdue Jaguars,53.8
2013,Jackson State Tigers,87.02
2013,Jacksonville Dolphins,47.1
2013,Jacksonville State Gamecocks,77.84
2013,James Madison Dukes,76.04
2013,Kansas Jayhawks,56.12
2013,Kansas State Wildcats,82.38
2013,Kennesaw State Owls,62.74
2013,Kent State Golden Flashes,33.92
2013,Kentucky Wildcats,7.1
2013,La Salle Explorers,75.76
2013,Lafayette College Leopards,42.44
