Year,Team,Real Win Total,Real Loss Total,Pythag
2011,Rutgers Scarlet Knights,15,17,0.525463599
2011,Sacred Heart Pioneers,11,18,0.378831534
2011,Saint Bonaventure Bonnies,16,15,0.484600202
2011,Saint Francis-New York Terriers,15,15,0.515400985
2011,Saint Francis-Pennsylvania Red Flash,9,21,0.242511349
2011,Saint Johns Red Storm,21,12,0.6135549
2011,Saint Josephs-Pennsylvania Hawks,11,22,0.310809592
2011,Saint Louis Billikens,12,19,0.526352528
2011,Saint Marys College-California Gaels,25,9,0.857443511
2011,Saint Peters Peacocks,20,14,0.53360942
2011,Sam Houston State Bearkats,18,13,0.633090204
2011,Samford Bulldogs,12,19,0.269583624
2011,San Diego State Aztecs,34,3,0.879053289
2011,San Diego Toreros,6,24,0.182253386
2011,San Francisco Dons,19,15,0.481800026
2011,San Jose State Spartans,17,16,0.485044037
2011,Santa Clara Broncos,24,14,0.610007494
2011,Savannah State Tigers,12,18,0.514130304
2011,Seattle University Red Hawks,11,20,0.273328335
2011,Seton Hall Pirates,13,18,0.565379957
2011,Siena College Saints,13,18,0.42147076
2011,South Alabama Jaguars,12,16,0.408995528
2011,South Carolina Gamecocks,14,16,0.446415238
2011,South Carolina State Bulldogs,10,22,0.324619791
2011,South Carolina-Upstate Spartans,5,25,0.136081041
2011,South Dakota Coyotes,18,15,0.622162297
2011,South Dakota State Jackrabbits,19,12,0.741952788
2011,South Florida Bulls,10,23,0.324050122
2011,Southeast Missouri State Redhawks,10,22,0.31760656
2011,Southeastern Louisiana Lions,15,14,0.535513304
2011,Southern California Trojans,19,15,0.637858259
2011,Southern Illinois Salukis,13,19,0.345058114
2011,Southern Illinois-Edwardsville Cougars,8,21,0.137307258
2011,Southern Methodist Mustangs,20,15,0.630607308
2011,Southern Mississippi Golden Eagles,22,10,0.782162301
2011,Southern University A&M Jaguars,4,26,0.078846163
2011,Southern Utah Thunderbirds,11,19,0.365314564
2011,Stanford Cardinal,15,16,0.54761293
2011,Stephen F. Austin State Lumberjacks,18,11,0.836025078
2011,Stetson Hatters,8,23,0.23531067
2011,Stony Brook Seawolves,15,17,0.522411114
2011,Syracuse Orange,27,8,0.819222996
2011,Temple Owls,26,8,0.777683614
2011,Tennessee State Tigers,14,16,0.505019422
2011,Tennessee Tech Golden Eagles,20,13,0.660722819
2011,Tennessee Volunteers,19,15,0.586875017
2011,Tennessee-Chattanooga Moccasins,16,16,0.385328693
2011,Tennessee-Martin Skyhawks,12,21,0.304489733
2011,Texas A&M Aggies,24,9,0.76485081
2011,Texas A&M-Corpus Christi Islanders,10,21,0.223513887
2011,Texas Christian Horned Frogs,11,22,0.39107997
2011,Texas Longhorns,28,8,0.872961861
