Year,Team,Player,Stats,Played,ID
2012,Ball State Cardinals,Pierre Sneed,1,18,pierre-sneed-1
2012,Ball State Cardinals,Zeke Chapman,0,11,zeke-chapman-1
2012,Baylor Bears,Pierre Jackson,20,38,pierre-jackson-1
2012,Baylor Bears,Quincy Acy,38,38,quincy-acy-1
2012,Baylor Bears,Perry Jones,33,33,perry-jones-1
2012,Baylor Bears,Quincy Miller,35,37,quincy-miller-1
2012,Baylor Bears,Brady Heslip,37,38,brady-heslip-1
2012,Baylor Bears,Anthony Jones,7,37,anthony-jones-2
2012,Baylor Bears,A.J. Walton,18,38,aj-walton-1
2012,Baylor Bears,Cory Jefferson,1,34,cory-jefferson-1
2012,Baylor Bears,Deuce Bello,0,30,deuce-bello-1
2012,Baylor Bears,Gary Franklin,0,27,gary-franklin-1
2012,Baylor Bears,Fred Ellis,1,13,fred-ellis-1
2012,Baylor Bears,Jacob Neubert,0,9,jacob-neubert-1
2012,Belmont Bruins,Kerron Johnson,34,34,kerron-johnson-1
2012,Belmont Bruins,Ian Clark,33,34,ian-clark-1
2012,Belmont Bruins,Drew Hanlen,34,35,drew-hanlen-1
2012,Belmont Bruins,Scott Saunders,19,35,scott-saunders-1
2012,Belmont Bruins,Mick Hedgepeth,33,35,mick-hedgepeth-1
2012,Belmont Bruins,J.J. Mann,2,35,jj-mann-1
2012,Belmont Bruins,Blake Jenkins,14,33,blake-jenkins-1
2012,Belmont Bruins,Adam Barnes,2,35,adam-barnes-1
2012,Belmont Bruins,Brandon Baker,3,33,brandon-baker-1
2012,Belmont Bruins,Trevor Noack,0,28,trevor-noack-1
2012,Belmont Bruins,Reece Chamberlain,0,31,reece-chamberlain-1
2012,Belmont Bruins,Chad Lang,0,14,chad-lang-1
2012,Belmont Bruins,Spencer Turner,0,13,spencer-turner-1
2012,Bethune Cookman Wildcats,Kevin Dukes,26,35,kevin-dukes-1
2012,Bethune Cookman Wildcats,Adrien Coleman,25,35,adrien-coleman-1
2012,Bethune Cookman Wildcats,Garrius Holloman,26,35,garrius-holloman-1
2012,Bethune Cookman Wildcats,Anthony Breeze,19,28,anthony-breeze-1
2012,Bethune Cookman Wildcats,Ricky Johnson,16,34,ricky-johnson-1
2012,Bethune Cookman Wildcats,Stanley Elliott,34,34,stanley-elliott-1
2012,Bethune Cookman Wildcats,Javoris Bryant,7,25,javoris-bryant-1
2012,Bethune Cookman Wildcats,Paul Scotland,6,27,paul-scotland-1
2012,Bethune Cookman Wildcats,Alex Smith,4,28,alex-smith-2
2012,Bethune Cookman Wildcats,Marc Mack,7,29,marc-mack-1
2012,Bethune Cookman Wildcats,Mikel Trapp,4,16,mikel-trapp-1
2012,Bethune Cookman Wildcats,Raymoan McAfee,1,20,raymoan-mcafee-1
2012,Bethune Cookman Wildcats,David Baroum,0,5,david-baroum-1
2012,Binghamton Bearcats,Ben Dickinson,27,30,ben-dickinson-1
2012,Binghamton Bearcats,Robert Mansell,28,28,robert-mansell-1
2012,Binghamton Bearcats,Jimmy Gray,29,31,jimmy-gray-1
2012,Binghamton Bearcats,Chris Longoria,15,31,chris-longoria-1
2012,Binghamton Bearcats,Omar Richards,9,27,omar-richards-1
2012,Binghamton Bearcats,Javon Ralling,10,29,javon-ralling-1
2012,Binghamton Bearcats,Taylor Johnston,13,28,taylor-johnston-1
2012,Binghamton Bearcats,Alex Ogundadegbe,14,29,alex-ogundadegbe-1
2012,Binghamton Bearcats,Jabrille Williams,3,23,jabrille-williams-1
2012,Binghamton Bearcats,Carlyle Francis,7,10,carlyle-francis-1
2012,Binghamton Bearcats,Byron Brown,0,8,byron-brown-1
2012,Binghamton Bearcats,Mike Horn,0,19,mike-horn-1
2012,Binghamton Bearcats,K.J. Brown,0,10,kj-brown-1
2012,Boise State Broncos,Anthony Drmic,29,29,anthony-drmic-1
2012,Boise State Broncos,Derrick Marks,13,30,derrick-marks-1
2012,Boise State Broncos,Kenny Buckner,15,29,kenny-buckner-1
2012,Boise State Broncos,Thomas Bropleh,11,30,thomas-bropleh-1
2012,Boise State Broncos,Ryan Watkins,16,29,ryan-watkins-1
2012,Boise State Broncos,Westly Perryman,24,29,westly-perryman-1
2012,Boise State Broncos,Drew Wiley,9,28,drew-wiley-1
2012,Boise State Broncos,Jeff Elorriaga,16,26,jeff-elorriaga-1
2012,Boise State Broncos,Tre Nichols,6,25,tre-nichols-1
2012,Boise State Broncos,Igor Hadziomerovic,4,15,igor-hadziomerovic-1
2012,Boise State Broncos,Joe Hanstad,5,18,joe-hanstad-1
2012,Boise State Broncos,Jarrell Crayton,2,22,jarrell-crayton-1
2012,Boston College Eagles,Ryan Anderson,28,31,ryan-anderson-3
2012,Boston College Eagles,Matt Humphrey,29,31,matt-humphrey-1
2012,Boston College Eagles,Dennis Clifford,25,31,dennis-clifford-1
2012,Boston College Eagles,Lonnie Jackson,24,31,lonnie-jackson-2
2012,Boston College Eagles,Jordan Daniels,25,31,jordan-daniels-1
2012,Boston College Eagles,Patrick Heckmann,9,22,patrick-heckmann-1
2012,Boston College Eagles,Gabriel Moton,5,29,gabriel-moton-1
2012,Boston College Eagles,Kyle Caudill,6,28,kc-caudill-1
2012,Boston College Eagles,John Cahill,2,27,john-cahill-1
2012,Boston College Eagles,Eddie Odio,0,24,eddie-odio-1
2012,Boston College Eagles,Danny Rubin,1,19,danny-rubin-1
2012,Boston College Eagles,Deirunas Visockas,0,7,deirunas-visockas-1
2012,Boston College Eagles,Ryan Kilcullen,0,8,ryan-kilcullen-1
2012,Boston University Terriers,Darryl Partin,31,32,darryl-partin-1
2012,Boston University Terriers,D.J. Irving,27,29,dj-irving-1
2012,Boston University Terriers,Dom Morris,29,32,dom-morris-1
2012,Boston University Terriers,Patrick Hazel,29,32,patrick-hazel-1
2012,Boston University Terriers,Matt Griffin,8,32,matt-griffin-1
2012,Boston University Terriers,Travis Robinson,28,32,travis-robinson-2
2012,Boston University Terriers,Malik Thomas,1,25,malik-thomas-1
2012,Boston University Terriers,Jeff Pelage,4,32,jeff-pelage-1
2012,Boston University Terriers,Zach Chionuma,0,30,zach-chionuma-1
2012,Boston University Terriers,Mike Terry,2,27,mike-terry--1
2012,Boston University Terriers,James Kennedy,0,15,james-kennedy-1
2012,Boston University Terriers,Chris Kurz,1,10,chris-kurz-1
2012,Boston University Terriers,Mat Piotrowski,0,8,mat-piotrowski-1
2012,Bowling Green State Falcons,A'uston Calhoun,32,32,auston-calhoun-1
2012,Bowling Green State Falcons,Scott Thomas,32,32,scott-thomas-1
2012,Bowling Green State Falcons,Jordon Crawford,30,32,jordon-crawford-1
2012,Bowling Green State Falcons,Dee Brown,32,32,dee-brown-3
2012,Bowling Green State Falcons,Torian Oglesby,1,32,torian-oglesby-1
2012,Bowling Green State Falcons,Craig Sealey,0,32,craig-sealey-1
2012,Bowling Green State Falcons,Cameron Black,31,32,cameron-black-1
2012,Bowling Green State Falcons,Jehvon Clarke,0,27,jehvon-clarke-1
2012,Bowling Green State Falcons,Luke Kraus,2,14,luke-kraus-1
2012,Bowling Green State Falcons,Chauncey Orr,0,29,chauncey-orr-1
2012,Bowling Green State Falcons,Anthony Henderson,0,22,anthony-henderson-1
2012,Bowling Green State Falcons,James Erger,0,27,james-erger-1
2012,Bowling Green State Falcons,Antonio Ferrell,0,4,antonio-ferrell-1
2012,Bradley Braves,Taylor Brown,28,28,taylor-brown-1
2012,Bradley Braves,Walt Lemon,25,32,walt-lemon--1
2012,Bradley Braves,Dyricus Simms-Edwards,31,32,dyricus-simms-edwards-1
2012,Bradley Braves,Jordan Prosser,31,32,jordan-prosser-1
2012,Bradley Braves,Jake Eastman,9,32,jake-eastman-1
2012,Bradley Braves,Shayok M. Shayok,26,32,shayok-m-shayok-1
2012,Bradley Braves,Anthony Thompson,1,32,anthony-thompson-1
2012,Bradley Braves,Jalen Crawford,5,30,jalen-crawford-1
2012,Bradley Braves,Charonn Woods,4,28,charonn-woods-1
2012,Bradley Braves,Milos Knezevic,0,15,milos-knezevic-1
2012,Bradley Braves,Donivine Stewart,0,11,donivine-stewart-1
2012,Bradley Braves,Devon Hodges,0,7,devon-hodges-1
2012,Brown Bears,Sean McGonagill,29,29,sean-mcgonagill-1
2012,Brown Bears,Matt Sullivan,29,31,matt-sullivan-1
2012,Brown Bears,Andrew McCarthy,20,29,andrew-mccarthy-1
2012,Brown Bears,Stephen Albrecht,24,28,stephen-albrecht-1
2012,Brown Bears,Jean Harris,8,30,jean-harris-1
2012,Brown Bears,Dockery Walker,19,29,dockery-walker-1
2012,Brown Bears,Tyler Ponticelli,23,31,tyler-ponticelli-1
2012,Brown Bears,Tellef Lundevall,1,21,tellef-lundevall-1
2012,Brown Bears,Christian Gore,1,12,christian-gore-1
2012,Brown Bears,Josh Biber,0,20,josh-biber-1
2012,Brown Bears,Jon Schmidt,0,21,jon-schmidt-1
2012,Brown Bears,Longi Yiljep,1,14,longi-yiljep-1
2012,Brown Bears,Patrick Donnelly,0,7,patrick-donnelly-1
2012,Bryant University Bulldogs,Alex Francis,22,30,alex-francis-1
2012,Bryant University Bulldogs,Frankie Dobbs,30,30,frankie-dobbs-2
2012,Bryant University Bulldogs,Corey Maynard,18,19,corey-maynard-1
2012,Bryant University Bulldogs,Raphael Jordan,15,28,raphael-jordan-1
2012,Bryant University Bulldogs,Ben Altit,17,30,ben-altit-1
2012,Bryant University Bulldogs,Claybrin McMath,18,30,claybrin-mcmath-1
2012,Bryant University Bulldogs,Daniel Calandrillo,13,29,daniel-calandrillo-1
2012,Bryant University Bulldogs,Vlad Kondratyev,5,20,vlad-kondratyev-1
2012,Bryant University Bulldogs,Erick Smith,8,23,erick-smith-1
2012,Bryant University Bulldogs,Troy Robinson,4,24,troy-robinson-1
2012,Bryant University Bulldogs,Jordan Harris,0,8,jordan-harris-3
2012,Bryant University Bulldogs,Alex Herzing,0,1,alex-herzing-1
2012,Bryant University Bulldogs,Patrick Matthews,0,6,patrick-matthews-1
2012,Bucknell Bison,Mike Muscala,35,35,mike-muscala-1
2012,Bucknell Bison,Cameron Ayers,35,35,cameron-ayers-1
2012,Bucknell Bison,Joe Willman,35,35,joe-willman-1
2012,Bucknell Bison,Bryson Johnson,9,34,bryson-johnson-1
2012,Bucknell Bison,Bryan Cohen,35,35,bryan-cohen-1
2012,Bucknell Bison,Brian Fitzpatrick,0,35,brian-fitzpatrick-1
2012,Bucknell Bison,Ben Brackney,0,29,ben-brackney-1
2012,Bucknell Bison,Steven Kaspar,5,35,steven-kaspar-1
2012,Bucknell Bison,Ryan Hill,21,33,ryan-hill-1
2012,Bucknell Bison,Joshea Singleton,0,19,joshea-singleton-1
2012,Bucknell Bison,Enoch Andoh,0,19,enoch-andoh-1
2012,Bucknell Bison,Colin Klebon,0,9,colin-klebon-1
2012,Bucknell Bison,Cory Starkey,0,11,cory-starkey-1
2012,Buffalo Bulls,Mitchell Watt,31,31,mitchell-watt-1
2012,Buffalo Bulls,Javon McCrea,31,31,javon-mccrea-1
2012,Buffalo Bulls,Zach Filzen,31,31,zach-filzen-1
2012,Buffalo Bulls,Titus Robinson,0,31,titus-robinson-1
2012,Buffalo Bulls,Dave Barnett,13,31,dave-barnett-1
2012,Buffalo Bulls,Tony Watson,0,30,tony-watson-1
2012,Buffalo Bulls,Jarod Oldham,31,31,jarod-oldham-1
2012,Buffalo Bulls,Auraum Nuiriankh,18,27,auraum-nuiriankh-1
2012,Buffalo Bulls,Cameron Downing,0,22,cameron-downing-1
2012,Buffalo Bulls,Corey Raley-Ross,0,17,corey-raley-ross-1
2012,Buffalo Bulls,Xavier Ford,0,16,xavier-ford-1
2012,Buffalo Bulls,Raphell Thomas-Edwards,0,8,raphell-thomas-edwards-1
2012,Buffalo Bulls,Richie Sebuharara,0,7,richie-sebuharara-1
2012,Butler Bulldogs,Andrew Smith,36,37,andrew-smith-2
2012,Butler Bulldogs,Khyle Marshall,20,35,khyle-marshall-1
2012,Butler Bulldogs,Chrishawn Hopkins,24,37,chrishawn-hopkins-1
2012,Butler Bulldogs,Ronald Nored,37,37,ronald-nored-1
2012,Butler Bulldogs,Roosevelt Jones,31,36,roosevelt-jones-1
2012,Butler Bulldogs,Chase Stigall,18,37,chase-stigall-1
2012,Butler Bulldogs,Kameron Woods,5,36,kameron-woods-1
2012,Butler Bulldogs,Erik Fromm,11,36,erik-fromm-1
2012,Butler Bulldogs,Jackson Aldridge,1,35,jackson-aldridge-1
2012,Butler Bulldogs,Andy Smeathers,0,23,andy-smeathers-1
2012,Butler Bulldogs,Garrett Butcher,2,28,garrett-butcher-1
2012,Butler Bulldogs,Alex Barlow,0,16,alex-barlow-1
2012,Butler Bulldogs,Elliott Kampen,0,12,elliott-kampen-1
2012,Cal Poly-Slo Mustangs,David Hanson,33,33,david-hanson-1
2012,Cal Poly-Slo Mustangs,Amaurys Fermin,33,33,amaurys-fermin-1
2012,Cal Poly-Slo Mustangs,Will Taylor,33,33,will-taylor-1
2012,Cal Poly-Slo Mustangs,Chris Eversley,8,33,chris-eversley-1
2012,Cal Poly-Slo Mustangs,Dylan Royer,22,33,dylan-royer-1
2012,Cal Poly-Slo Mustangs,Drake U'u,18,26,drake-uu-1
2012,Cal Poly-Slo Mustangs,Will Donahue,0,29,will-donahue-1
2012,Cal Poly-Slo Mustangs,Jamal Johnson,2,32,jamal-johnson-1
2012,Cal Poly-Slo Mustangs,Kyle Odister,0,26,kyle-odister-1
2012,Cal Poly-Slo Mustangs,Maliik Love,11,32,malik-love-1
2012,Cal Poly-Slo Mustangs,Matt Titchenal,1,18,matt-titchenal-1
2012,Cal Poly-Slo Mustangs,Jordan Lewis,4,30,jordan-lewis-1
2012,California Golden Bears,Allen Crabbe,33,34,allen-crabbe-1
2012,California Golden Bears,Jorge Gutierrez,33,33,jorge-gutierrez-1
2012,California Golden Bears,Justin Cobbs,27,34,justin-cobbs-1
2012,California Golden Bears,Harper Kamp,34,34,harper-kamp-1
2012,California Golden Bears,David Kravish,24,34,david-kravish-1
2012,California Golden Bears,Robert Thurman,0,30,robert-thurman-1
2012,California Golden Bears,Brandon Smith,11,31,brandon-smith-7
2012,California Golden Bears,Richard Solomon,8,13,richard-solomon-1
2012,California Golden Bears,Bak Bak,0,29,bak-bak-1
2012,California Golden Bears,Emerson Murray,0,27,emerson-murray-1
2012,California Golden Bears,Jeff Powers,0,19,jeff-powers-1
2012,California Golden Bears,Christian Behrens,0,9,christian-behrens-1
2012,California Golden Bears,Alex Rossi,0,3,alex-rossi-1
2012,California State-Bakersfield Roadrunners,Stephon Carter,28,31,stephon-carter-1
2012,California State-Bakersfield Roadrunners,Issiah Grayson,29,31,issiah-grayson-1
2012,California State-Bakersfield Roadrunners,Zach Lamb,14,30,zachary-lamb-1
2012,California State-Bakersfield Roadrunners,Donald Johnson,7,29,donald-johnson-2
2012,California State-Bakersfield Roadrunners,Tyrone White,21,31,tyrone-white-1
2012,California State-Bakersfield Roadrunners,Mo Hughley,1,31,mo-hughley-1
2012,California State-Bakersfield Roadrunners,Adam Young,23,30,adam-young-1
2012,California State-Bakersfield Roadrunners,Rashad Savage,31,31,rashad-savage-1
2012,California State-Bakersfield Roadrunners,Robert Hayes,1,16,robert-hayes-1
2012,California State-Bakersfield Roadrunners,Andre Jackson,0,14,andre-jackson-3
2012,California State-Bakersfield Roadrunners,Ivan Matip,0,26,ivan-matip-1
2012,California State-Bakersfield Roadrunners,Kwai Pearson,0,18,kwai-pearson-1
2012,California State-Bakersfield Roadrunners,Kregg Jones,0,1,kregg-jones-1
2012,California State-Fullerton Titans,D.J. Seeley,29,31,dj-seeley-1
2012,California State-Fullerton Titans,Kwame Vaughn,31,31,kwame-vaughn-1
2012,California State-Fullerton Titans,Isiah Umipig,30,30,isiah-umipig-1
2012,California State-Fullerton Titans,Omondi Amoke,29,30,omondi-amoke-1
2012,California State-Fullerton Titans,Orane Chin,29,31,orane-chin-1
2012,California State-Fullerton Titans,Perry Webster,3,31,perry-webster-1
2012,California State-Fullerton Titans,Andre Hardy,1,16,andre-hardy-1
2012,California State-Fullerton Titans,Sedric Martin,0,22,sedric-martin-1
2012,California State-Fullerton Titans,Orlando Brown,0,22,orlando-brown-1
2012,California State-Fullerton Titans,John Underwood,3,23,john-underwood-1
2012,California State-Fullerton Titans,Bernard Webb,0,9,bernard-webb-1
2012,California State-Fullerton Titans,Chris Collins,0,4,chris-collins-2
2012,California State-Fullerton Titans,Cameron Glover,0,4,cameron-glover-1
2012,California State-Long Beach 49ers,Casper Ware,33,34,casper-ware-1
2012,California State-Long Beach 49ers,Larry Anderson,31,31,larry-anderson-1
2012,California State-Long Beach 49ers,T.J. Robinson,34,34,tj-robinson-1
2012,California State-Long Beach 49ers,James Ennis,34,34,james-ennis-1
2012,California State-Long Beach 49ers,Eugene Phelps,34,34,eugene-phelps-1
2012,California State-Long Beach 49ers,Mike Caffey,2,34,michael-caffey-1
2012,California State-Long Beach 49ers,Edis Dervisevic,1,27,edis-dervisevic-1
2012,California State-Long Beach 49ers,Nick Shepherd,1,28,nick-shepherd-1
2012,California State-Long Beach 49ers,Peter Pappageorge,0,19,peter-pappageorge-1
2012,California State-Long Beach 49ers,Sean Starkey,0,16,sean-starkey-1
2012,California State-Long Beach 49ers,Corey Jackson,0,15,corey-jackson-2
2012,California State-Long Beach 49ers,Mike Vantrimpont,0,9,mike-vantrimpont-1
2012,California State-Northridge Matadors,Stephan Hicks,23,28,stephen-hicks-1
2012,California State-Northridge Matadors,Josh Greene,20,28,josh-greene-1
2012,California State-Northridge Matadors,Vinnie McGhee,16,28,vinnie-mcghee-1
2012,California State-Northridge Matadors,Stephen Maxwell,12,23,stephen-maxwell-1
2012,California State-Northridge Matadors,Aqeel Quinn,10,23,aqeel-quinn-1
2012,California State-Northridge Matadors,John Hayward-Mayhew,11,27,john-hayward-mayhew-1
2012,California State-Northridge Matadors,Ari Feldman,8,25,ari-feldman-1
2012,California State-Northridge Matadors,Allan Guei,11,27,allan-guei-1
2012,California State-Northridge Matadors,Michael Lizarraga,10,20,michael-lizarraga-1
2012,California State-Northridge Matadors,Frankie Eteuati,7,27,frankie-eteuati-1
2012,California State-Northridge Matadors,Davon Potts,6,22,davon-potts-1
2012,California State-Northridge Matadors,Allen Jiles,0,22,allen-jiles-1
2012,California State-Northridge Matadors,Thomas Jacobs,6,6,thomas-jacobs-1
2012,California State-Sacramento Hornets,John Dickson,18,28,john-dickson-1
2012,California State-Sacramento Hornets,Joe Eberhard,27,28,joe-eberhard-2
2012,California State-Sacramento Hornets,Konner Veteto,5,27,konner-veteto-1
2012,California State-Sacramento Hornets,Dylan Garrity,27,28,dylan-garrity-1
2012,California State-Sacramento Hornets,Heath Hoffman,15,28,heath-hoffman-1
2012,California State-Sacramento Hornets,Jackson Carbajal,12,18,jackson-carbajal-1
2012,California State-Sacramento Hornets,Josh McCarver,16,28,josh-mccarver-1
2012,California State-Sacramento Hornets,Walter Jackson,7,11,walter-jackson-1
2012,California State-Sacramento Hornets,Jordan Estada,8,22,jordan-estada-1
2012,California State-Sacramento Hornets,Julian Demalleville,2,28,julian-demalleville-1
2012,California State-Sacramento Hornets,Pete Rakocevic,3,16,pete-rakocevic-1
2012,California State-Sacramento Hornets,Kendall Groom,0,19,kendall-groom-1
2012,California State-Sacramento Hornets,Magd Owayed,0,2,magd-owayed-1
2012,California-Davis Aggies,Josh Ritchart,25,30,josh-ritchart-1
2012,California-Davis Aggies,Tyler Les,10,31,tyler-lee-1
2012,California-Davis Aggies,Eddie Miller,21,25,eddie-miller-4
2012,California-Davis Aggies,Harrison DuPont,13,25,harrison-dupont-1
2012,California-Davis Aggies,Tyrell Corbin,23,30,tyrell-corbin-2
2012,California-Davis Aggies,J.T. Adenrele,17,30,john-adenrele-1
2012,California-Davis Aggies,Ryan Howley,17,18,ryan-howley-1
2012,California-Davis Aggies,Alex Tiffin,13,30,alex-tiffin-1
2012,California-Davis Aggies,Paolo Mancasola,11,30,paolo-mancasola-1
2012,California-Davis Aggies,Adam Malik,0,26,adam-malik-1
2012,California-Davis Aggies,Ryan Sypkens,4,4,ryan-sypkens-1
2012,California-Davis Aggies,Dominic Lippi,1,7,dominic-lippi-1
2012,California-Davis Aggies,Ryan Silva,0,4,ryan-silva-1
2012,California-Irvine Anteaters,Mike Wilder,32,32,mike-wilder-1
2012,California-Irvine Anteaters,Daman Starring,32,32,daman-starring-1
2012,California-Irvine Anteaters,Chris McNealy,32,32,chris-mcnealy-2
2012,California-Irvine Anteaters,Adam Folker,29,32,adam-folker-1
2012,California-Irvine Anteaters,Derick Flowers,24,32,derick-flowers-1
2012,California-Irvine Anteaters,Will Davis,3,31,will-davis-1
2012,California-Irvine Anteaters,Mike Best,2,32,mike-best-1
2012,California-Irvine Anteaters,Collin Woods,0,31,collin-woods-1
2012,California-Irvine Anteaters,Aaron Wright,6,9,aaron-wright-1
2012,California-Irvine Anteaters,Travis Souza,0,26,travis-souza-1
2012,California-Irvine Anteaters,Marcus Bradley,0,23,marcus-bradley-1
2012,California-Riverside Highlanders,Phil Martin,30,30,phil-martin-2
2012,California-Riverside Highlanders,Kareem Nitoto,31,31,kareem-nitoto-2
2012,California-Riverside Highlanders,Robert Smith,18,24,robert-smith-7
2012,California-Riverside Highlanders,Kevin Bradshaw,28,28,kevin-bradshaw-1
2012,California-Riverside Highlanders,Elliott Berry,8,29,elliott-berry-1
2012,California-Riverside Highlanders,BJ Shearry,23,29,bj-shearry-1
2012,California-Riverside Highlanders,Harrison Gaines,3,26,harrison-gaines-2
2012,California-Riverside Highlanders,Daymond Cowlah,10,25,daymond-cowlah-1
2012,California-Riverside Highlanders,David Chavarria,2,28,david-chavarria-1
2012,California-Riverside Highlanders,Austin Quick,2,27,austin-quick-1
2012,California-Riverside Highlanders,T.J. Burke,0,20,tj-burke-1
2012,California-Riverside Highlanders,John Gilliam,0,16,john-gilliam-1
2012,California-Riverside Highlanders,Dominique Taplin,0,5,dominique-taplin-1
2012,California-Santa Barbara Gauchos,Orlando Johnson,31,31,orlando-johnson-1
2012,California-Santa Barbara Gauchos,James Nunnally,31,31,james-nunnally-1
2012,California-Santa Barbara Gauchos,Jaime Serna,29,30,jaime-serna-1
2012,California-Santa Barbara Gauchos,Kyle Boswell,4,31,kyle-boswell-1
2012,California-Santa Barbara Gauchos,Alan Williams,20,30,alan-williams-2
2012,California-Santa Barbara Gauchos,T.J. Taylor,14,31,tj-taylor-1
2012,California-Santa Barbara Gauchos,Greg Somogyi,2,31,greg-somogyi-1
2012,California-Santa Barbara Gauchos,Keegan Hornbuckle,4,25,keegan-hornbuckle-1
2012,California-Santa Barbara Gauchos,Nate Garth,9,31,nate-garth-1
2012,California-Santa Barbara Gauchos,Christian Peterson,10,31,christian-peterson-1
2012,California-Santa Barbara Gauchos,Lewis Thomas,1,21,lewis-thomas-1
2012,California-Santa Barbara Gauchos,John Green,0,1,john-green-3
2012,Campbell Fighting Camels,Darren White,29,32,darren-white-1
2012,Campbell Fighting Camels,Eric Griffin,31,31,eric-griffin-2
2012,Campbell Fighting Camels,Trey Freeman,27,29,trey-freeman-2
2012,Campbell Fighting Camels,Rico Ferguson,26,31,rico-ferguson-1
2012,Campbell Fighting Camels,Lorne Merthie,10,23,lorne-merthie-1
2012,Campbell Fighting Camels,Marvelle Harris,27,32,marvelle-harris-1
2012,Campbell Fighting Camels,Andrew Ryan,2,28,andrew-ryan-1
2012,Campbell Fighting Camels,Anthony Horton,5,31,anthony-horton-1
2012,Campbell Fighting Camels,Amir Celestin,2,25,amir-celestin-1
2012,Campbell Fighting Camels,Jihad Wright,0,18,jihad-wright-1
2012,Campbell Fighting Camels,Antonio Kalpic,1,24,antonio-kalpic-1
2012,Campbell Fighting Camels,Tyler Zegarzewski,0,4,tyler-zegarzewski-1
2012,Campbell Fighting Camels,Nnadozie Onuoha,0,2,nnadozie-onuoha-1
2012,Canisius Golden Griffins,Harold Washington,29,30,harold-washington-1
2012,Canisius Golden Griffins,Alshwan Hymes,30,30,alshwan-hymes-1
2012,Canisius Golden Griffins,Gabby Belardo,17,26,gabby-belardo-1
2012,Canisius Golden Griffins,Chris Manhertz,30,30,chris-manhertz-1
2012,Canisius Golden Griffins,Reggie Groves,11,24,reggie-groves-1
2012,Canisius Golden Griffins,Josiah Heath,19,30,josiah-heath-1
2012,Canisius Golden Griffins,Kevin Bleeker,6,30,kevin-bleeker-1
2012,Canisius Golden Griffins,Franklin Milian,7,27,franklin-milian-1
2012,Canisius Golden Griffins,David Santiago,0,23,david-santiago-1
2012,Canisius Golden Griffins,Marial Dhal,1,17,marial-dhal-1
2012,Canisius Golden Griffins,Tyler Funk,0,14,tyler-funk-1
2012,Canisius Golden Griffins,Sean Ezeamama,0,13,sean-ezeamama-1
2012,Central Arkansas Bears,LaQuentin Miles,23,28,laquentin-miles-1
2012,Central Arkansas Bears,Jarvis Garner,23,29,jarvis-garner-1
2012,Central Arkansas Bears,Robert Crawford,11,28,robert-crawford-1
2012,Central Arkansas Bears,Mark Rutledge,28,28,mark-rutledge-1
2012,Central Arkansas Bears,Jordan Harks,8,25,jordan-harks-1
2012,Central Arkansas Bears,Dewan Clayborn,5,27,dewan-clayborn-1
2012,Central Arkansas Bears,Ryan Williams,7,28,ryan-williams-7
2012,Central Arkansas Bears,Anthony Borden,21,29,anthony-borden-1
2012,Central Arkansas Bears,Terry Tidwell,1,15,terry-tidwell-1
2012,Central Arkansas Bears,Carlin Bremner,0,25,carlin-bremner-1
2012,Central Arkansas Bears,Oliver Wells,11,17,oliver-wells-1
2012,Central Arkansas Bears,Joe Harris,1,15,joe-harris-1
2012,Central Arkansas Bears,Chris Henson,1,22,chris-henson-1
2012,Central Connecticut State Blue Devils,Ken Horton,26,28,ken-horton-1
2012,Central Connecticut State Blue Devils,Kyle Vinales,29,29,kyle-vinales-1
2012,Central Connecticut State Blue Devils,Robby Ptacek,29,29,robby-ptacek-1
2012,Central Connecticut State Blue Devils,Joe Efese,11,27,joe-efese-1
2012,Central Connecticut State Blue Devils,David Simmons,11,29,david-simmons-1
2012,Central Connecticut State Blue Devils,Adonis Burbage,1,29,adonis-burbage-1
2012,Central Connecticut State Blue Devils,Malcolm McMillan,28,29,malcolm-mcmillan-1
2012,Central Connecticut State Blue Devils,Terrell Allen,9,26,terrell-allen-1
2012,Central Connecticut State Blue Devils,Shelton Mickell,0,23,shelton-mickell-1
2012,Central Connecticut State Blue Devils,De'Angelo Speech,1,19,deangelo-speech-1
2012,Central Connecticut State Blue Devils,Mark LaPorte,0,11,mark-laporte-1
2012,Central Florida Knights,Keith Clanton,33,33,keith-clanton-1
2012,Central Florida Knights,Marcus Jordan,31,31,marcus-jordan-1
2012,Central Florida Knights,Isaiah Sykes,32,33,isaiah-sykes-1
2012,Central Florida Knights,Tristan Spurlock,6,33,tristan-spurlock-1
2012,Central Florida Knights,A.J. Rompza,20,21,aj-rompza-1
2012,Central Florida Knights,Josh Crittle,25,31,josh-crittle-1
2012,Central Florida Knights,P.J. Gaynor,3,31,pj-gaynor-1
2012,Central Florida Knights,Kasey Wilson,1,29,kasey-wilson-1
2012,Central Florida Knights,Dwight McCombs,6,15,dwight-mccombs-2
2012,Central Florida Knights,Jeff Jordan,1,13,jeff-jordan-1
2012,Central Florida Knights,Rod Days,7,23,rod-days-1
2012,Central Florida Knights,Wayne Martin,0,11,wayne-martin-2
2012,Central Florida Knights,Bobby Horodyski,0,6,bobby-horodyski-1
2012,Central Michigan Chippewas,Trey Zeigler,28,32,trey-zeigler-1
2012,Central Michigan Chippewas,Derek Jackson,29,32,derek-jackson-1
2012,Central Michigan Chippewas,Austin McBroom,29,31,austin-mcbroom-1
2012,Central Michigan Chippewas,Andre Coimbra,26,32,andre-coimbra-1
