Date,Home,Away,Nutral Site
12/7/2010,Valparaiso Crusaders,Purdue Boilermakers,
12/7/2010,Marquette Golden Eagles,Texas A&M-Corpus Christi Islanders,
12/8/2010,Seton Hall Pirates,Arkansas Razorbacks,"at Louisville, KY"
12/8/2010,Evansville Aces,North Carolina Central Eagles,
12/8/2010,Brigham Young Cougars,Vermont Catamounts,"at Glens Falls, NY"
12/8/2010,George Mason Patriots,Loyola-Maryland Greyhounds,
12/8/2010,Pennsylvania Quakers,Villanova Wildcats,
12/8/2010,Louisviile,San Franciscco,
12/8/2010,Lafayette College Leopards,New Jersey Tech Highlanders,
12/8/2010,Northeastern Huskies,Rhode Island Rams,
12/8/2010,Buffalo Bulls,Niagara Purple Eagles,
12/8/2010,Bowling Green State Falcons,Western Kentucky Hilltoppers,
12/8/2010,Indiana State Sycamores,DePaul Blue Demons,
12/8/2010,Massachusetts Minutemen,Maine Black Bears,
12/8/2010,Maryland Terrapins,North Carolina-Greensboro Spartans,
12/8/2010,Connecticut Huskies,Farleigh Dickinson,
12/8/2010,Texas A&M Aggies,Prairie View A&M Panthers,
12/8/2010,Eastern Illinois Panthers,Ball State Cardinals,
12/8/2010,Arizona Wildcats,California State-Fullerton Titans,
12/8/2010,Northern Arizona Lumberjacks,UTPA,
12/8/2010,Duke Blue Devils,Bradley Braves,
12/8/2010,Missouri Tigers,Vanderbilt Commodores,
12/8/2010,Tulsa Golden Hurricane,Oklahoma State Cowboys,
12/8/2010,Wisconsin Badgers,Wisconsin-Milwaukee Panthers,
12/8/2010,Notre Dame Fighting Irish,Kentucky Wildcats,"at Louisville, KY"
12/8/2010,Colorado Buffaloes,Colorado State Rams,
12/8/2010,California Golden Bears,San Diego State Aztecs,
12/8/2010,Washington State Cougars,Gonzaga Bulldogs,
12/9/2010,Florida Gators,Kent State Golden Flashes,
12/9/2010,Ohio State Buckeyes,Indiana-Purdue Jaguars,
12/9/2010,Wichita State Shockers,Nicholls St.,
12/9/2010,Oklahoma Sooners,Gardner Webb Runnin Bulldogs,
12/9/2010,Temple Owls,Georgetown Hoyas,
12/9/2010,Xavier Musketeers,Butler Bulldogs,
12/10/2010,Michigan Wolverines,Utah Utes,
12/10/2010,Siena College Saints,Fairfield Stags,
12/10/2010,Mercer Bears,Navy Midshipmen,
12/10/2010,Iowa Hawkeyes,Iowa State Cyclones,
12/11/2010,Duke Blue Devils,Saint Louis Billikens,
12/11/2010,Louisville Cardinals,UNLV Rebels,
12/11/2010,Auburn Tigers,Rutgers Scarlet Knights,"at Pittsburgh, PA"
12/11/2010,Oakland Golden Grizzlies,Michigan State Spartans,"at Auburn Hills, MI"
12/11/2010,Minnesota Golden Gophers,Eastern Kentucky Colonels,
12/11/2010,Providence Friars,Alabama Crimson Tide,
12/11/2010,Nebraska Cornhuskers,Texas Christian Horned Frogs,
12/11/2010,Stony Brook Seawolves,Sacred Heart Pioneers,
12/11/2010,Western Kentucky Hilltoppers,Southern Illinois Salukis,
12/11/2010,Marquette Golden Eagles,Wisconsin Badgers,
12/11/2010,Tennessee-Chattanooga Moccasins,Murray State Racers,
12/11/2010,Quinnipiac Bobcats,Rhode Island Rams,
12/11/2010,Oklahoma Sooners,Oral Roberts Golden Eagles,
12/11/2010,Pittsburgh Panthers,Tennessee Volunteers,at Consol Energy Center
12/11/2010,Southern California Trojans,Northern Arizona Lumberjacks,
12/11/2010,Texas Longhorns,Texas State Bobcats,
12/11/2010,Loyola-Chicago Ramblers,Kansas State Wildcats,
12/11/2010,Old Dominion Monarchs,Dayton Flyers,
12/11/2010,Texas A&M Aggies,Washington Huskies,
12/11/2010,Central Florida Knights,Bethune Cookman Wildcats,
12/11/2010,Missouri Tigers,Presbyterian Blue Hose,
12/11/2010,Kentucky Wildcats,Indiana Hoosiers,
12/11/2010,Brigham Young Cougars,Arizona Wildcats,"at Salt Lake City, UT"
12/11/2010,Denver Pioneers,Portland Pilots,
12/11/2010,Kansas Jayhawks,Colorado State Rams,"at Kansas City, MO"
12/11/2010,Purdue Boilermakers,North Florida Ospreys,
12/11/2010,North Carolina Central Eagles,California State-Long Beach 49ers,
12/11/2010,Fordham Rams,Saint Johns Red Storm,"at East Rutherford, NJ"
12/11/2010,Liberty University Flames,George Mason Patriots,
12/11/2010,Houston Cougars,Texas-San Antonio Roadrunners,
12/11/2010,Syracuse Orange,Colgate Red Raiders,
12/11/2010,Butler Bulldogs,Mississippi Valley State Delta Devils,
12/11/2010,Eastern Illinois Panthers,Western Illinois Leathernecks,
12/11/2010,Massachusetts Minutemen,Seton Hall Pirates,
12/11/2010,UCLA Bruins,Cal Poly-Slo Mustangs,
12/11/2010,Illinois State Redbirds,Illinois-Chicago Flames,
12/11/2010,Seattle University Red Hawks,Idaho Vandals,
12/11/2010,Louisiana State Tigers,Central Michigan Chippewas,
12/11/2010,Cincinnati Bearcats,Utah Valley Wolverines,
12/11/2010,Oklahoma State Cowboys,Missouri State Bears,
12/11/2010,Creighton Blue Jays,Saint Josephs-Pennsylvania Hawks,
12/11/2010,Notre Dame Fighting Irish,Gonzaga Bulldogs,
12/11/2010,New Mexico Lobos,New Mexico State Aggies,
12/11/2010,Utah State Aggies,California State-Bakersfield Roadrunners,
12/11/2010,Oregon Ducks,Willamette,
12/11/2010,San Diego Toreros,San Diego State Aztecs,
12/12/2010,Georgetown Hoyas,Appalachian State Mountaineers,
12/12/2010,Virginia Tech Hokies,Penn State Nittany Lions,
12/12/2010,Vermont Catamounts,Marist Red Foxes,
12/12/2010,La Salle Explorers,Villanova Wildcats,
12/12/2010,North Carolina-Wilmington Seahawks,Wake Forest Demon Deacons,"at Greensboro, NC"
12/12/2010,Maryland Terrapins,Boston College Eagles,
12/12/2010,Ohio State Buckeyes,Western Carolina Catamounts,
12/12/2010,Middle Tennessee State Blue Raiders,Furman  Paladins,
12/12/2010,Illinois Fighting Illini,Northern Colorado Bears,
12/12/2010,Miami-Florida Hurricanes,Clemson Tigers,
12/12/2010,Kent State Golden Flashes,South Florida Bulls,
12/12/2010,Iowa State Cyclones,Texas Southern Tigers,
12/12/2010,Duquesne Dukes,West Virginia Mountaineers,
12/13/2010,Siena College Saints,Florida Atlantic Owls,
12/13/2010,Wisconsin Badgers,Wisconsin-Green Bay Phoenix,
12/13/2010,Wichita State Shockers,Alabama A&M Bulldogs,
12/13/2010,UCLA Bruins,California-Davis Aggies,
12/14/2010,Tennessee Volunteers,Oakland Golden Grizzlies,
12/14/2010,Michigan Wolverines,North Carolina Central,
12/14/2010,Cincinnati Bearcats,Georgia Southern Eagles,
12/14/2010,Maryland-Baltimore County Retrievers,American Eagles,
12/14/2010,Mississippi State Bulldogs,Alabama State Hornets,
12/14/2010,Texas Longhorns,North Texas Mean Green Eagles,
12/14/2010,Louisville Cardinals,Drexel Dragons,
12/14/2010,DePaul Blue Demons,Wisconsin-Milwaukee Panthers,
12/15/2010,Ohio State Buckeyes,Florida Gulf Coast Eagles,
12/15/2010,Wake Forest Demon Deacons,North Carolina-Greensboro Spartans,
12/15/2010,Florida State Seminoles,Stetson Hatters,
12/15/2010,Arkansas Razorbacks,Mississippi Valley State Delta Devils,
12/15/2010,Minnesota Golden Gophers,Akron Zips,
12/15/2010,South Florida Bulls,Auburn Tigers,
12/15/2010,Alabama Crimson Tide,Southeastern Louisiana Lions,
12/16/2010,Northwestern Wildcats,American Eagles,
12/16/2010,Memphis Tigers,Austin Peay State Governors,
12/16/2010,Louisiana State Tigers,McNeese St.,
12/16/2010,Missouri Tigers,Oral Roberts Golden Eagles,
12/16/2010,Gonzaga Bulldogs,Lewis & Clark,
12/16/2010,Arizona Wildcats,Northern Arizona Lumberjacks,
12/17/2010,Indiana Hoosiers,Southern Illinois-Edwardsville Cougars,
12/17/2010,North Carolina-Charlotte 49ers,Tennessee Volunteers,
12/17/2010,Virginia Cavaliers,Oregon Ducks,
12/17/2010,Nevada Wolf Pack,Arizona State Sun Devils,
12/17/2010,New Mexico Lobos,Longwood Lancers,
12/18/2010,Kansas Jayhawks,Southern California Trojans,
12/18/2010,Georgia Bulldogs,Arkansas State Red Wolves,
12/18/2010,Georgetown Hoyas,Loyola-Maryland Greyhounds,
12/18/2010,Miami,Central Florida Knights,
12/18/2010,Ohio State Buckeyes,South Carolina Gamecocks,
12/18/2010,Butler Bulldogs,Stanford Cardinal,
12/18/2010,Arkansas Razorbacks,Texas A&M Aggies,"at Dallas, TX"
12/18/2010,Illinois-Chicago Flames,Illinois Fighting Illini,
12/18/2010,West Virginia Mountaineers,Cleveland State Vikings,
12/18/2010,Marquette Golden Eagles,Centenary,
12/18/2010,DePaul Blue Demons,Loyola-Chicago Ramblers,
12/18/2010,Florida Gators,Kansas State Wildcats,"at Sunrise, FL"
12/18/2010,Louisville Cardinals,Gardner Webb Runnin Bulldogs,
12/18/2010,North Carolina Central Eagles,Texas Longhorns,"at Greensboro, NC"
12/18/2010,Baylor Bears,Gonzaga Bulldogs,"at Dallas, TX"
12/18/2010,Purdue Boilermakers,Indiana State Sycamores,"at Indianapolis, IN"
12/18/2010,UCLA Bruins,Brigham Young Cougars,"at Anaheim, CA"
12/18/2010,Alabama Crimson Tide,Oklahoma State Cowboys,"at Oklahoma City, OK"
12/18/2010,Michigan State Spartans,Prairie View A&M Panthers,
12/18/2010,Central Michigan Chippewas,Detroit-Mercy Titans,
12/18/2010,Syracuse Orange,Iona Gaels,
12/18/2010,Pittsburgh Panthers,Maryland-Eastern Shore Hawks,
12/18/2010,Liberty University Flames,William & Mary Tribe,
12/18/2010,Dayton Flyers,Western Carolina Catamounts,
12/18/2010,Oregon State Beavers,George Washington Colonials,
12/18/2010,Denver Pioneers,Northern Colorado Bears,
12/18/2010,Xavier Musketeers,Wake Forest Demon Deacons,
12/18/2010,Kentucky Wildcats,Mississippi Valley State Delta Devils,
12/18/2010,Missouri Tigers,Central Arkansas Bears,
12/18/2010,Drake Bulldogs,Iowa Hawkeyes,
12/18/2010,Louisiana State Tigers,Wichita State Shockers,"at Bossier City, LA"
12/18/2010,Creighton Blue Jays,Idaho State Bengals,
12/18/2010,Murray State Racers,Western Kentucky Hilltoppers,
12/18/2010,Cincinnati Bearcats,Oklahoma Sooners,"at Oklahoma City, OK"
12/18/2010,New Mexico State Aggies,Pacific Tigers,
12/18/2010,Utah Valley Wolverines,Utah State Aggies,
12/18/2010,Texas-El Paso Miners,Texas Tech Red Raiders,
12/18/2010,Washington Huskies,San Francisco Dons,
12/18/2010,Loyola-Marymount Lions,Florida State Seminoles,
12/19/2010,Clemson Tigers,North Carolina-Greensboro Spartans,
12/19/2010,Iowa State Cyclones,Dartmouth College Big Green,
12/19/2010,New Mexico Lobos,Citadel Bulldogs,
12/19/2010,Indiana Hoosiers,South Carolina State Bulldogs,
12/19/2010,Colorado Buffaloes,Longwood Lancers,
12/19/2010,North Carolina State Wolfpack,Arizona Wildcats,
12/19/2010,Notre Dame Fighting Irish,Stony Brook Seawolves,
12/19/2010,Tennessee Tech Golden Eagles,Eastern Illinois Panthers,
12/19/2010,UL-Monroe,Florida Atlantic Owls,
12/20/2010,Florida Gators,Jacksonville Dolphins,
12/20/2010,Connecticut Huskies,Coppin State Eagles,
12/20/2010,St. Francis,Northwestern Wildcats,
12/20/2010,Dayton Flyers,Winhtrop,
12/20/2010,Duke Blue Devils,Elon Phoenix,
12/20/2010,Syracuse Orange,Morgan State Bears,
12/20/2010,Memphis Tigers,Texas A&M-Corpus Christi Islanders,
12/20/2010,Saint Johns Red Storm,Davidson College Wildcats,
12/21/2010,Purdue Boilermakers,IPFW,
12/21/2010,North Carolina Central Eagles,William & Mary Tribe,
12/21/2010,Tennessee Volunteers,Southern California Trojans,
12/21/2010,Georgia Bulldogs,High Point Panthers,
12/21/2010,Arizona State Sun Devils,California State-Long Beach 49ers,
12/21/2010,Davidson College Wildcats,Saint Francis-New York Terriers,"at New York, NY"
12/21/2010,Miami-Ohio Redhawks,Cincinnati Bearcats,
12/21/2010,Boston University Terriers,Saint Josephs-Pennsylvania Hawks,
12/21/2010,Texas A&M Aggies,Wagner Seahawks,
12/21/2010,Wichita State Shockers,Tulsa Golden Hurricane,
12/21/2010,Marquette Golden Eagles,Mississippi Valley State Delta Devils,
12/21/2010,Oklahoma Sooners,California State-Sacramento Hornets,
12/21/2010,Tennessee-Martin Skyhawks,Murray State Racers,
12/21/2010,Ohio State Buckeyes,North Carolina-Asheville Bulldogs,
12/21/2010,Kansas State Wildcats,UNLV Rebels,"at Kansas City, MO"
12/21/2010,Oklahoma State Cowboys,Stanford Cardinal,
12/21/2010,Middle Tennessee State Blue Raiders,Vanderbilt Commodores,
12/21/2010,New Mexico State Aggies,UL-Lafayette,
12/21/2010,Weber State Wildcats,Brigham Young Cougars,
12/21/2010,Saint Johns Red Storm,Northwestern Wildcats,
12/21/2010,Oregon Ducks,Idaho Vandals,
12/22/2010,Kentucky Wildcats,Winthrop Eagles,
12/22/2010,Washington State Cougars,Mississippi State Bulldogs,"at Honolulu, HI"
12/22/2010,Baylor Bears,San Diego Toreros,"at Honolulu, HI"
12/22/2010,Michigan State Spartans,Texas Longhorns,
12/22/2010,College of Charleston Cougars,Clemson Tigers,
12/22/2010,Florida Gators,Radford Highlanders,
12/22/2010,Connecticut Huskies,Harvard Crimson,
12/22/2010,Syracuse Orange,Drexel Dragons,
12/22/2010,Siena College Saints,Georgia Tech Yellow Jackets,
12/22/2010,Massachusetts Minutemen,Central Florida Knights,
12/22/2010,Northern Iowa Panthers,Indiana Hoosiers,"at Las Vegas, NV"
12/22/2010,Louisiana State Tigers,North Texas Mean Green Eagles,
12/22/2010,Texas Tech Red Raiders,Texas-Arlington Mavericks,
12/22/2010,Arkansas Razorbacks,Texas Southern Tigers,
12/22/2010,Western Kentucky Hilltoppers,Louisville Cardinals,
12/22/2010,Arizona Wildcats,Robert Morris Colonials,
12/22/2010,Illinois Fighting Illini,Missouri Tigers,"at St. Louis, MO"
12/22/2010,Washington Huskies,Nevada Wolf Pack,
12/22/2010,Colorado Buffaloes,New Mexico Lobos,"at Las Vegas, NV"
12/22/2010,Gonzaga Bulldogs,Xavier Musketeers,
12/22/2010,California Golden Bears,Kansas Jayhawks,
12/22/2010,Butler Bulldogs,Utah Utes,"at Honolulu, HI"
12/23/2010,Hawaii Rainbow Warriors,Florida State Seminoles,"at Honolulu, HI"
12/23/2010,Arizona State Sun Devils,North Carolina A&T Aggies,
12/23/2010,Southern Mississippi Golden Eagles,Saint Louis Billikens,"at Cancun, Mexico"
12/23/2010,San Diego Toreros,Mississippi State Bulldogs,"at Cancun, Mexico"
12/23/2010,Michigan Wolverines,Bryant University Bulldogs,
12/23/2010,Baylor Bears,Washington State Cougars,"at Honolulu, HI"
12/23/2010,Mercer Bears,Georgia Bulldogs,
12/23/2010,Cincinnati Bearcats,Saint Francis-New York Terriers,
12/23/2010,Colorado Buffaloes,Indiana Hoosiers,"at Las Vegas, NV"
12/23/2010,Tennessee Volunteers,Belmont Bruins,
12/23/2010,Memphis Tigers,Georgetown Hoyas,
12/23/2010,Ohio State Buckeyes,Oakland Golden Grizzlies,
12/23/2010,Kansas State Wildcats,Missouri-Kansas City Kangaroos,
12/23/2010,Mississippi Rebels,Colorado State Rams,"at Cancun, Mexico"
12/23/2010,Butler Bulldogs,Florida State Seminoles,"at Honolulu, HI"
12/23/2010,Northern Iowa Panthers,New Mexico Lobos,"at Las Vegas, NV"
12/23/2010,UCLA Bruins,California-Irvine Anteaters,
12/24/2010,Hawaii Rainbow Warriors,Utah Utes,"at Honolulu, HI"
12/24/2010,Saint Louis Billikens,Mississippi Rebels,"at Cancun, Mexico"
12/24/2010,Southern Mississippi Golden Eagles,Colorado State Rams,"at Cancun, Mexico"
12/25/2010,Florida State Seminoles,Baylor Bears,"at Honolulu, HI"
12/25/2010,Washington State Cougars,Butler Bulldogs,"at Honolulu, HI"
12/27/2010,Indiana Hoosiers,Penn State Nittany Lions,
12/27/2010,Louisiana State Tigers,Southern University A&M Jaguars,
12/27/2010,Louisville Cardinals,Morgan State Bears,
12/27/2010,Missouri Tigers,Northern Illinois Huskies,
12/27/2010,Pittsburgh Panthers,Connecticut Huskies,
12/27/2010,Ohio State Buckeyes,Tennessee-Martin Skyhawks,
12/28/2010,Michigan Wolverines,Purdue Boilermakers,
12/28/2010,Wisconsin Badgers,Minnesota Golden Gophers,
12/28/2010,Cincinnati Bearcats,DePaul Blue Demons,
12/28/2010,Kentucky Wildcats,Coppin State Eagles,
12/28/2010,Xavier Musketeers,Albany Great Danes,
12/28/2010,Georgia Bulldogs,Charleston Southern,
12/28/2010,Seton Hall Pirates,South Florida Bulls,
12/28/2010,North Carolina-Asheville Bulldogs,Western Carolina Catamounts,
12/28/2010,Oral Roberts Golden Eagles,IPFW,
12/28/2010,Rutgers Scarlet Knights,North Carolina Central Eagles,"at New York, NY"
12/28/2010,Syracuse Orange,Providence Friars,
12/28/2010,Alabama Crimson Tide,Pepperdine Waves,
12/28/2010,Stanford Cardinal,Yale Bulldogs,
12/28/2010,California-Santa Barbara Gauchos,California State-Long Beach 49ers,
12/29/2010,Notre Dame Fighting Irish,Georgetown Hoyas,
12/29/2010,North Carolina-Greensboro Spartans,Duke Blue Devils,
12/29/2010,South Carolina Gamecocks,Jacksonville State Gamecocks,
12/29/2010,Tennessee Volunteers,Tennessee-Martin Skyhawks,
12/29/2010,Dayton Flyers,George Mason Patriots,
12/29/2010,West Virginia Mountaineers,Saint Johns Red Storm,
12/29/2010,Rhode Island Rams,Boston College Eagles,
12/29/2010,Indiana State Sycamores,Bradley Braves,
12/29/2010,Rice University Owls,Louisiana State Tigers,
12/29/2010,Northern Iowa Panthers,Missouri State Bears,
12/29/2010,Drake Bulldogs,Southern Illinois Salukis,
12/29/2010,,,,,
12/29/2010,Illinois State Redbirds,Creighton Blue Jays,
12/29/2010,Texas Tech Red Raiders,New Mexico Lobos,
12/29/2010,Gonzaga Bulldogs,Lafayette College Leopards,
12/29/2010,Vanderbilt Commodores,Marquette Golden Eagles,
12/29/2010,Kansas Jayhawks,Texas-Arlington Mavericks,
12/29/2010,Iowa Hawkeyes,Illinois Fighting Illini,
12/29/2010,Colorado Buffaloes,Maryland-Eastern Shore Hawks,
12/29/2010,UCLA Bruins,Washington State Cougars,
12/29/2010,St. Mary's,Mississippi State Bulldogs,"at Las Vegas, NV"
12/30/2010,Mercer Bears,North Carolina-Charlotte 49ers,
12/30/2010,Villanova Wildcats,Temple Owls,
12/30/2010,Mississippi Rebels,Alcorn State Braves,
12/30/2010,Virginia Cavaliers,Iowa State Cyclones,
12/30/2010,Memphis Tigers,Lipscomb Bison,
12/30/2010,Oral Roberts Golden Eagles,Oakland Golden Grizzlies,
12/30/2010,Oklahoma Sooners,Central Arkansas Bears,
12/30/2010,Missouri Tigers,Old Dominion Monarchs,
12/30/2010,Oregon Ducks,Arizona Wildcats,
12/30/2010,Oregon State Beavers,Arizona State Sun Devils,
12/31/2010,Louisville Cardinals,Kentucky Wildcats,
12/31/2010,Purdue Boilermakers,Northwestern Wildcats,
12/31/2010,Georgia Bulldogs,Eastern Kentucky Colonels,
12/31/2010,Tennessee Volunteers,College of Charleston Cougars,
12/31/2010,Texas Longhorns,Coppin State Eagles,
12/31/2010,Kansas City,North Florida Ospreys,
12/31/2010,Massachusetts Minutemen,Boston University Terriers,
12/31/2010,Xavier Musketeers,Florida Gators,
12/31/2010,UCLA Bruins,Washigton,
12/31/2010,Michigan State Spartans,Minnesota Golden Gophers,
12/31/2010,Indiana Hoosiers,Ohio State Buckeyes,
12/31/2010,Connecitcut,South Florida Bulls,
12/31/2010,Southern California Trojans,Washington State Cougars,
12/31/2010,Cincinnati Bearcats,Seton Hall Pirates,
12/31/2010,Nevada Wolf Pack,Hawaii Rainbow Warriors,
12/31/2010,Arkansas Razorbacks,Texas-Arlington Mavericks,
12/31/2010,Gonzaga Bulldogs,Oklahoma State Cowboys,
1/1/2011,Marquette Golden Eagles,West Virginia Mountaineers,
1/1/2011,North Carolina State Wolfpack,San Diego Toreros,
1/1/2011,Georgetown Hoyas,DePaul Blue Demons,
1/1/2011,Dayton Flyers,New Mexico Lobos,
1/1/2011,Butler Bulldogs,Valparaiso Crusaders,
1/1/2011,Syracuse Orange,Notre Dame Fighting Irish,
1/1/2011,Saint Louis Billikens,Bowling Green State Falcons,
1/1/2011,South Carolina Gamecocks,Boston College Eagles,
1/1/2011,Providence Friars,Saint Johns Red Storm,
1/1/2011,Bradley Braves,Wichita State Shockers,
1/1/2011,Evansville Aces,Indiana State Sycamores,
1/1/2011,Arkansas State Red Wolves,Western Kentucky Hilltoppers,
1/2/2011,Wake Forest Demon Deacons,Gonzaga Bulldogs,
1/2/2011,Villanova Wildcats,Rutgers Scarlet Knights,
1/2/2011,Memphis Tigers,Tennessee State Tigers,
1/2/2011,Texas Tech Red Raiders,Texas A&M-Corpus Christi Islanders,
1/2/2011,North Carolina Central Eagles,St. Francis,
1/2/2011,Baylor Bears,Texas Southern Tigers,
1/2/2011,Michigan Wolverines,Penn State Nittany Lions,
1/2/2011,Idaho State Bengals,Portland State Vikings,
1/2/2011,Virginia Cavaliers,Louisiana State Tigers,
1/2/2011,Kansas Jayhawks,Miami-Ohio Redhawks,
1/2/2011,Illinois Fighting Illini,Wisconsin Badgers,
1/2/2011,Georgia Tech Yellow Jackets,North Carolina-Charlotte 49ers,
1/2/2011,Mississippi Rebels,Southeastern Louisiana Lions,
1/2/2011,Duke Blue Devils,Miami-Florida Hurricanes,
1/2/2011,Stanford Cardinal,California Golden Bears,
1/2/2011,Oregon State Beavers,Arizona Wildcats,
1/3/2011,Saint Johns Red Storm,Georgetown Hoyas,
1/3/2011,Kentucky Wildcats,Pennsylvania Quakers,
1/3/2011,George Mason Patriots,Delaware Blue Hens,
1/3/2011,William & Mary Tribe,North Carolina-Wilmington Seahawks,
1/3/2011,Northwestern Wildcats,Michigan State Spartans,
1/3/2011,Fairfield Stags,Niagara Purple Eagles,
1/3/2011,Mercer Bears,East Tennessee State Buccaneers,
1/3/2011,Auburn Tigers,Florida State Seminoles,
1/3/2011,Kansas State Wildcats,Savannah State Tigers,
1/3/2011,Oklahoma Sooners,Maryland-Eastern Shore Hawks,
1/3/2011,Oklahoma State Cowboys,Texas-San Antonio Roadrunners,
1/3/2011,Iowa State Cyclones,Northern Illinois Huskies,
1/3/2011,Florida Gators,Rhode Island Rams,
1/3/2011,Southeast Missouri St.,Tennessee-Martin Skyhawks,
1/3/2011,Fresno State Bulldogs,Nevada Wolf Pack,
1/3/2011,Minnesota Golden Gophers,Indiana Hoosiers,
1/4/2011,South Carolina Gamecocks,South Carolina State Bulldogs,
1/4/2011,Notre Dame Fighting Irish,Connecticut Huskies,
1/4/2011,Providence Friars,Pittsburgh Panthers,
1/4/2011,Boston University Terriers,New Hampshire Wildcats,
1/4/2011,Bradley Braves,Southern Illinois Salukis,
1/4/2011,Maryland Terrapins,Colgate Red Raiders,
1/4/2011,Baylor Bears,Morgan State Bears,
1/4/2011,Creighton Blue Jays,Missouri State Bears,
1/4/2011,Wichita State Shockers,Drake Bulldogs,
1/4/2011,Northern Iowa Panthers,Evansville Aces,
1/4/2011,Texas Longhorns,Arkansas Razorbacks,
1/4/2011,Iowa Hawkeyes,Ohio State Buckeyes,
1/4/2011,Colorado State Rams,Wyoming Cowboys,
1/4/2011,Southern University A&M Jaguars,Texas Southern Tigers,
1/4/2011,DePaul Blue Demons,West Virginia Mountaineers,
1/5/2011,Penn State Nittany Lions,Purdue Boilermakers,
1/5/2011,Duke Blue Devils,Alabama-Birmingham Blazers,
1/5/2011,Louisville Cardinals,Seton Hall Pirates,
1/5/2011,Central Florida Knights,Marshall Thundering Herd,
1/5/2011,Virginia Commonwealth Rams,Drexel Dragons,
1/5/2011,Fordham Rams,Temple Owls,"at East Rutherford, NJ"
1/5/2011,Lafayette College Leopards,Columbia Lions,
1/5/2011,Rutgers Scarlet Knights,Marquette Golden Eagles,
1/5/2011,Merccer,South Carolina-Upstate Spartans,
1/5/2011,Saint Louis Billikens,Dayton Flyers,
1/5/2011,Texas Christian Horned Frogs,San Diego State Aztecs,
1/5/2011,Kansas Jayhawks,Missouri-Kansas City Kangaroos,
1/5/2011,Missouri Tigers,North Alabama Lions,
1/5/2011,Wisconsin Badgers,Michigan Wolverines,
1/5/2011,Tennessee Volunteers,Memphis Tigers,
1/5/2011,Southern Mississippi Golden Eagles,Houston Cougars,
1/5/2011,New Mexico Lobos,California State-Bakersfield Roadrunners,
1/5/2011,UNLV Rebels,Brigham Young Cougars,
1/5/2011,Air Force Falcons,Utah Utes,
1/6/2011,Vermont Catamounts,Albany Great Danes,
1/6/2011,Cincinnati Bearcats,Xavier Musketeers,
1/6/2011,South Florida Bulls,Villanova Wildcats,
1/6/2011,Liberty University Flames,Charleston Southern,
1/6/2011,Oakland Golden Grizzlies,Indiana-Purdue Jaguars,
1/6/2011,Illinois-Chicago Flames,Wright State Raiders,
1/6/2011,Wisconsin-Green Bay Phoenix,Wisconsin-Milwaukee Panthers,
1/6/2011,Western Kentucky Hilltoppers,Denver Pioneers,
1/6/2011,Washington Huskies,Oregon Ducks,
1/6/2011,Arizona State Sun Devils,Stanford Cardinal,
1/6/2011,Northern Arizona Lumberjacks,Idaho State Bengals,
1/6/2011,Illinois Fighting Illini,Northwestern Wildcats,
1/6/2011,Loyola-Marymount Lions,St. Mary's,
1/6/2011,Southern University A&M Jaguars,Prairie View A&M Panthers,
1/6/2011,Arizona Wildcats,California Golden Bears,
1/7/2011,Hawaii Rainbow Warriors,Idaho Vandals,
1/7/2011,Butler Bulldogs,Cleveland State Vikings,
1/7/2011,Campbell Fighting Camels,Kennesaw State Owls,
1/7/2011,Canisius Golden Griffins,Siena College Saints,
1/7/2011,Indiana State Sycamores,Northern Iowa Panthers,
1/7/2011,Drake Bulldogs,Bradley Braves,
1/7/2011,Wichita State Shockers,Illinois State Redbirds,
1/7/2011,Creighton Blue Jays,Southern Illinois Salukis,
1/7/2011,Niagara Purple Eagles,Rider Broncs,
1/8/2011,Georgetown Hoyas,West Virginia Mountaineers,
1/8/2011,Murray State Racers,Austin Peay State Governors,
1/8/2011,Seton Hall Pirates,Syracuse Orange,
1/8/2011,Northeastern Huskies,Hofstra Pride,
1/8/2011,Western Carolina Catamounts,Davidson College Wildcats,
1/8/2011,Virginia Cavaliers,North Carolina Central Eagles,
1/8/2011,Oklahoma State Cowboys,Kansas State Wildcats,
1/8/2011,Penn State Nittany Lions,Michigan State Spartans,
1/8/2011,Colorado Buffaloes,Missouri Tigers,
1/8/2011,Arkansas Razorbacks,Tennessee Volunteers,
1/8/2011,Texas Tech Red Raiders,Baylor Bears,
1/8/2011,Old Dominion Monarchs,George Mason Patriots,
1/8/2011,Brigham Young Cougars,Air Force Falcons,
1/8/2011,Pittsburgh Panthers,Marquette Golden Eagles,
1/8/2011,Illinois-Chicago Flames,Detroit-Mercy Titans,
1/8/2011,UL-Monroe,Denver Pioneers,
1/8/2011,Arizona State Sun Devils,California Golden Bears,
1/8/2011,North Carolina State Wolfpack,Wake Forest Demon Deacons,
1/8/2011,Virginia Tech Hokies,Florida State Seminoles,
1/8/2011,Central Arkansas Bears,Lamar Cardinals,
1/8/2011,Texas Longhorns,Connecticut Huskies,
1/8/2011,Utah Utes,San Diego State Aztecs,
1/8/2011,Nevada Wolf Pack,Utah State Aggies,
1/8/2011,Alabama-Birmingham Blazers,Texas-El Paso Miners,
1/8/2011,Drexel Dragons,Delaware Blue Hens,
1/8/2011,Boston College Eagles,Georgia Tech Yellow Jackets,
1/8/2011,Saint Bonaventure Bonnies,North Carolina-Charlotte 49ers,
1/8/2011,Memphis Tigers,East Carolina Pirates,
1/8/2011,Oklahoma Sooners,Texas A&M Aggies,
